Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Rpt-obj_Art-rppt_fra,Proj-desc_eng,Proj-desc_fra,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Maintenance Trans-Québec Inc, Victoriaville, Quebec","Maintenance Trans-Québec Inc, Victoriaville, Québec",0,185984
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Merit Building Cleaning, Saskatoon, Saskatchewan","Merit Building Cleaning, Saskatoon, Saskatchewan",0,190293
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Ontario Minister of Finance, Toronto, Ontario","Ministre des Finances de l'Ontario, Toronto, Ontario",0,200000
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","PricewaterhouseCoopers LLP, Toronto, Ontario","PricewaterhouseCoopers S E N C R L/s r l, Toronto, Ontario",0,177757
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Racing Forensics Inc, Toronto, Ontario","Racing Forensics Inc, Toronto, Ontario",0,1342461
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Raymond Chabot Grand Thornton, Ottawa, Ontario","Raymond Chabot Grand Thornton, Ottawa, Ontario",0,122337
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Royal Moving and Storage, Ottawa, Ontario","Royal Moving and Storage, Ottawa, Ontario",0,279952
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Samson & Associates, Gatineau, Quebec","Samson & Associés, Gatineau, Québec",0,356565
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","SBC Facility Services, Dieppe, New Brunswick","SBC Facility Services, Dieppe, Nouveau-Brunswick",0,120224
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Scollard Maintenance Limited, Edmonton, Alberta","Scollard Maintenance Limited, Edmonton, Alberta",0,491577
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Service payments under $100,000 (569 payees)","Paiements de service inférieurs à 100 000 $ (569 bénéficiaires)",0,4427750
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Service Star Building Cleaning Inc, Ottawa, Ontario","Service Star Building Cleaning Inc, Ottawa, Ontario",0,846994
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Skyblue Services Corporation, Edmonton, Alberta","Skyblue Services Corporation, Edmonton, Alberta",0,156704
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Société de l'assurance automobile du Québec, Québec, Quebec","Société de l'assurance automobile du Québec, Québec, Québec",0,114219
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Welch LLP, Ottawa, Ontario","Welch S E N C R L/s r l, Ottawa, Ontario",0,249563
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux","Window Butler, Ottawa, Ontario","Window Butler, Ottawa, Ontario",0,102691
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",040,"Business Services","Services commerciaux",,,15499869,0
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",041,"Legal Services","Services juridiques","Canadian Food Inspection Agency, Ottawa, Ontario","Agence canadienne d'inspection des aliments, Ottawa, Ontario",0,188205
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",041,"Legal Services","Services juridiques","Department of Justice, Ottawa, Ontario","Ministère de la Justice, Ottawa, Ontario",0,4163339
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",041,"Legal Services","Services juridiques","Jones Day, Washington, District of Columbia","Jones Day, Washington, District fédéral de Columbia",0,3276336
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",041,"Legal Services","Services juridiques","Paine Hamblen LLP, Washington, District of Columbia","Paine Hamblen LLP, Washington, District fédéral de Columbia",0,116437
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",041,"Legal Services","Services juridiques","Service payments under $100,000 (83 payees)","Paiements de service inférieurs à 100 000 $ (83 bénéficiaires)",0,65161
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",041,"Legal Services","Services juridiques",,,7809478,0
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",042,"Engineering and Architectural Services","Services techniques et d'architecture","Department of Public Works and Government Services, Gatineau, Quebec","Ministère des Travaux publics et des Services gouvernementaux, Gatineau, Québec",0,5531324
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",042,"Engineering and Architectural Services","Services techniques et d'architecture","Service payments under $100,000 (76 payees)","Paiements de service inférieurs à 100 000 $ (76 bénéficiaires)",0,507409
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",042,"Engineering and Architectural Services","Services techniques et d'architecture",,,6038733,0
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Agvise Laboratories Inc, Northwood, North Dakota","Agvise Laboratories Inc, Northwood, Dakota du Nord",0,142700
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Bio-Smart Solutions, Chilliwack, British Columbia","Bio-Smart Solutions, Chilliwack, Colombie-Britannique",0,183725
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Central Testing Laboratory Ltd, Winnipeg, Manitoba","Central Testing Laboratory Ltd, Winnipeg, Manitoba",0,188728
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Cropseed Ltd, Auckland, New Zealand","Cropseed Ltd, Auckland, Nouvelle-Zélande",0,222044
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Dalhousie University, Halifax, Nova Scotia","Dalhousie University, Halifax, Nouvelle-Écosse",0,115402
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Department of Natural Resources, Ottawa, Ontario","Ministère des Ressources naturelles, Ottawa, Ontario",0,179912
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Department of the Environment, Gatineau, Quebec","Ministère de l'Environnement, Gatineau, Québec",0,843564
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Enns Brothers Ltd, Oak Bluff, Manitoba","Enns Brothers Ltd, Oak Bluff, Manitoba",0,360515
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Génome Québec, Montréal, Quebec","Génome Québec, Montréal, Québec",0,843376
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Global Institute for Food Security, Saskatoon, Saskatchewan","Global Institute for Food Security, Saskatoon, Saskatchewan",0,149579
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","ICMS Inc, Portage la Prairie, Manitoba","ICMS Inc, Portage la Prairie, Manitoba",0,121312
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","National Research Council of Canada, Ottawa, Ontario","Conseil national de recherches du Canada, Ottawa, Ontario",0,113740
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Neogen Canada, Edmonton, Alberta","Neogen Canada, Edmonton, Alberta",0,119171
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Perennia Food and Agriculture Inc, Kentville, Nova Scotia","Perennia Food and Agriculture Inc, Kentville, Nouvelle-Écosse",0,109633
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Service payments under $100,000 (396 payees)","Paiements de service inférieurs à 100 000 $ (396 bénéficiaires)",0,4255006
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","SGS Institut Fresenius, Taunusstein, Germany","SGS Institut Fresenius, Taunusstein, Allemagne",0,123568
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Sirati & Partners Consultants Ltd, King City, Ontario","Sirati & Partners Consultants Ltd, King City, Ontario",0,144466
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Southern Seed Technology Ltd, Christchurch, New Zealand","Southern Seed Technology Ltd, Christchurch, Nouvelle-Zélande",0,270866
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","St Boniface Hospital, Winnipeg, Manitoba","Hôpital Saint-Boniface, Winnipeg, Manitoba",0,171638
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Université Laval, Québec, Quebec","Université Laval, Québec, Québec",0,126960
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","University of Alberta, Edmonton, Alberta","Université de l'Alberta, Edmonton, Alberta",0,313839
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","University of Guelph, Guelph, Ontario","University of Guelph, Guelph, Ontario",0,573666
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche","Wood PLC, Toronto, Ontario","Wood PLC, Toronto, Ontario",0,121136
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",043,"Scientific and Research Services","Services scientifiques et de recherche",,,9794546,0
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",044,"Training and Educational Services","Services d'enseignement et de formation","École de langues Eagle Inc, Ottawa, Ontario","École de langues Eagle Inc, Ottawa, Ontario",0,119893
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",044,"Training and Educational Services","Services d'enseignement et de formation","ExitCertified Corp, Ottawa, Ontario","ExitCertified Corp, Ottawa, Ontario",0,126592
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",044,"Training and Educational Services","Services d'enseignement et de formation","Graybridge Malkam, Ottawa, Ontario","Graybridge Malkam, Ottawa, Ontario",0,178255
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",044,"Training and Educational Services","Services d'enseignement et de formation","Service payments under $100,000 (897 payees)","Paiements de service inférieurs à 100 000 $ (897 bénéficiaires)",0,3038118
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",044,"Training and Educational Services","Services d'enseignement et de formation","The Retirement Planning Institute, Ottawa, Ontario","L'Institut de planification de la retraite, Ottawa, Ontario",0,134379
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",044,"Training and Educational Services","Services d'enseignement et de formation",,,3597237,0
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",045,"Health and Welfare Services","Services de santé et de bien-être","LifeWorks Canada Ltd, Toronto, Ontario","LifeWorks Canada Ltd, Toronto, Ontario",0,379034
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",045,"Health and Welfare Services","Services de santé et de bien-être","Service payments under $100,000 (39 payees)","Paiements de service inférieurs à 100 000 $ (39 bénéficiaires)",0,110120
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",045,"Health and Welfare Services","Services de santé et de bien-être",,,489154,0
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection","Commissionaires, Calgary, Alberta","Commissionnaires, Calgary, Alberta",0,251909
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection","Commissionaires, Montréal, Quebec","Commissionnaires, Montréal, Québec",0,268511
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection","Commissionaires, Ottawa, Ontario","Commissionnaires, Ottawa, Ontario",0,2360977
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection","Commissionaires, Québec, Quebec","Commissionnaires, Québec, Québec",0,167517
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection","Commissionaires, Saint John, New Brunswick","Commissionnaires, Saint John, Nouveau-Brunswick",0,131102
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection","Commissionaires, Vancouver, British Columbia","Commissionnaires, Vancouver, Colombie-Britannique",0,160041
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection","Service payments under $100,000 (23 payees)","Paiements de service inférieurs à 100 000 $ (23 bénéficiaires)",0,320867
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",046,"Protection Services","Services de protection",,,3660924,0
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","ADRM Technology Consulting Group Corp, Ottawa, Ontario","ADRM Technology Consulting Group Corp, Ottawa, Ontario",0,621769
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","Amazon Web Services Inc, Seattle, Washington","Amazon Web Services Inc, Seattle, Washington",0,403479
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","Apption, Ottawa, Ontario","Apption, Ottawa, Ontario",0,358409
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","Bell Canada, Ottawa, Ontario","Bell Canada, Ottawa, Ontario",0,1403828
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","Cache Computer Consulting Corp, Ottawa, Ontario","Cache Computer Consulting Corp, Ottawa, Ontario",0,3261197
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","Calian Group Ltd, Ottawa, Ontario","Calian Group Ltd, Ottawa, Ontario",0,117440
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","CGI Information Systems & Management Consultants Inc, Ottawa, Ontario","Conseillers en gestion et informatique CGI Inc, Ottawa, Ontario",0,343689
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","Cistel Technology Inc, Ottawa, Ontario","Cistel Technology Inc, Ottawa, Ontario",0,143170
2022/2023,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",047,"Informatics Services","Services informatiques","Cofomo, Montréal, Quebec","Cofomo, Montréal, Québec",0,5636387
