Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Rpt-obj_Art-rppt,Rpt-obj_Art-rppt_eng,Rpt-obj_Art-rppt_fra,Proj-desc_eng,Proj-desc_fra,Xpnd-current-yr_Dep-ex-courant,Aggregate-payments_Versements-totalisant
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Perennia Food and Agriculture Inc, Kentville, Nova Scotia","Perennia Food and Agriculture Inc, Kentville, Nouvelle-Écosse",0,101629
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Planet Labs Geomatics Corporation, Lethbridge, Alberta","Planet Labs Geomatics Corporation, Lethbridge, Alberta",0,270446
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Sandy Knolls Research Inc, Vienna, Ontario","Sandy Knolls Research Inc, Vienna, Ontario",0,130040
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Service payments under $100,000 (378 payees)","Paiements de service inférieurs à 100 000 $ (378 bénéficiaires)",0,3822962
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Southern Seed Technology Ltd, Christchurch, New Zealand","Southern Seed Technology Ltd, Christchurch, Nouvelle-Zélande",0,300238
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","St Boniface Hospital, Winnipeg, Manitoba","Hôpital Saint-Boniface, Winnipeg, Manitoba",0,140990
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","Université Laval, Québec, Quebec","Université Laval, Québec, Québec",0,133070
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","University of Alberta, Edmonton, Alberta","Université de l'Alberta, Edmonton, Alberta",0,225825
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",43,"Scientific and Research Services","Services scientifiques et de recherche","University of Guelph, Guelph, Ontario","University of Guelph, Guelph, Ontario",0,771506
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",44,"Training and Educational Services","Services d'enseignement et de formation",,,3270800,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",44,"Training and Educational Services","Services d'enseignement et de formation","ABCE Language School Inc, Ottawa, Ontario","École de langues ABCE Inc, Ottawa, Ontario",0,201202
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",44,"Training and Educational Services","Services d'enseignement et de formation","Ecole de Langues Eagle, Ottawa, Ontario","École de Langues Eagle Inc, Ottawa, Ontario",0,189044
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",44,"Training and Educational Services","Services d'enseignement et de formation","ExitCertified Corp, Ottawa, Ontario","ExitCertified Corp, Ottawa, Ontario",0,144473
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",44,"Training and Educational Services","Services d'enseignement et de formation","Fast Forward French Inc, Ottawa, Ontario","Fast Forward French Inc, Ottawa, Ontario",0,104950
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",44,"Training and Educational Services","Services d'enseignement et de formation","Graybridge Malkam, Ottawa, Ontario","Graybridge Malkam, Ottawa, Ontario",0,138372
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",44,"Training and Educational Services","Services d'enseignement et de formation","Service payments under $100,000 (965 payees)","Paiements de service inférieurs à 100 000 $ (965 bénéficiaires)",0,2492759
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",45,"Health and Welfare Services","Services de santé et de bien-être",,,447446,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",45,"Health and Welfare Services","Services de santé et de bien-être","LifeWorks Canada Ltd, Toronto, Ontario","LifeWorks Canada Ltd, Toronto, Ontario",0,346158
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",45,"Health and Welfare Services","Services de santé et de bien-être","Service payments under $100,000 (29 payees)","Paiements de service inférieurs à 100 000 $ (29 bénéficiaires)",0,101288
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection",,,3875222,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Commissionaires, Calgary, Alberta","Commissionnaires, Calgary, Alberta",0,271309
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Commissionaires, Montréal, Quebec","Commissionnaires, Montréal, Québec",0,328833
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Commissionaires, Ottawa, Ontario","Commissionnaires, Ottawa, Ontario",0,2398311
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Commissionaires, Québec, Quebec","Commissionnaires, Québec, Québec",0,165424
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Commissionaires, Regina, Saskatchewan","Commissionnaires, Regina, Saskatchewan",0,136843
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Commissionaires, Saint John, New Brunswick","Commissionnaires, Saint John, Nouveau-Brunswick",0,120748
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Commissionaires, Vancouver, British Columbia","Commissionnaires, Vancouver, Colombie-Britannique",0,246009
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",46,"Protection Services","Services de protection","Service payments under $100,000 (25 payees)","Paiements de service inférieurs à 100 000 $ (25 bénéficiaires)",0,207745
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",47,"Informatics Services","Services informatiques",,,42709500,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",47,"Informatics Services","Services informatiques","Alivaktuk Consulting Inc & Navpoint Consulting Group Inc in joint venture, Ottawa, Ontario","Alivaktuk Consulting Inc & Navpoint Consulting Group Inc en conentreprise, Ottawa, Ontario",0,195036
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",47,"Informatics Services","Services informatiques","Apption, Ottawa, Ontario","Apption, Ottawa, Ontario",0,1019968
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",47,"Informatics Services","Services informatiques","Bell Canada, Ottawa, Ontario","Bell Canada, Ottawa, Ontario",0,1479677
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",47,"Informatics Services","Services informatiques","Cache Computer Consulting Corp, Ottawa, Ontario","Cache Computer Consulting Corp, Ottawa, Ontario",0,2861310
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",47,"Informatics Services","Services informatiques","Calian Group Ltd, Ottawa, Ontario","Calian Group Ltd, Ottawa, Ontario",0,118326
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire",47,"Informatics Services","Services informatiques","Cistel Technology Inc, Ottawa, Ontario","Cistel Technology Inc, Ottawa, Ontario",0,302643
