Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Chernoff Thompson Architects, Vancouver, British Columbia","Architectural and engineering services for growth chamber replacement, Summerland, British Columbia",368122,150811,368122
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","City of Swift Current, Swift Current, Saskatchewan","Water distribution system, Swift Current, Saskatchewan",1010333,0,952381
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Contracts under $250,000 and cost plus contracts under $25,000 (193 contractors)",,0,7263138,0
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","New growth chambers, Summerland, British Columbia",3177409,1107769,3177409
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Crane Structures Steel Ltd, Brandon, Manitoba","Crop services building, Brandon, Manitoba",2948459,1894917,1894917
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Crane Structures Steel Ltd, Brandon, Manitoba","New seed processing facility, Brandon, Manitoba",2250239,0,2250239
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Culliton Inc, Stratford, Ontario","Chiller overhaul, London, Ontario",345572,342072,342072
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Finn Construction Ltd, Saskatoon, Saskatchewan","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",1580865,1223608,1223608
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Finn Construction Ltd, Saskatoon, Saskatchewan","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",1459696,1069312,1459696
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Fournier Gersovitz Moss Drolet & Associés Architectes, Montréal, Quebec","Architectural and engineering services for building 54 envelope conservation, Ottawa, Ontario",536081,205319,466606
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Ful-Flo Industries Ltd, Winnipeg, Manitoba","Irrigation development, Brandon, Manitoba",2369440,2268781,2268781
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Gagnon Letellier Cyr Ricard Mathieu & Associés Architectes, Québec, Quebec","Architectural and engineering services for relocation of the Chapais Farm, Saint-Augustin-de-Desmaures, Quebec",786220,377412,748142
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Gagnon Letellier Cyr Ricard Mathieu & Associés Architectes, Québec, Quebec","Architectural and engineering services for research greenhouse reconstruction, Québec, Quebec",667528,256922,569578
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Golden Law Office Professional Corporation in Trust, Harrow, Ontario","Acquisition of lands adjacent to the Agriculture and Agri-Food Canada research facility, Harrow, Ontario",465000,220000,465000
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Golder Associates Ltd, Calgary, Alberta","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",703892,176232,486213
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Graham Design Builders, Winnipeg, Manitoba","New greenhouse and header house, Morden, Manitoba",8434766,0,8434766
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Gulf Developments Inc, Maidstone, Ontario","Harrow research centre greenhouse construction, Harrow, Ontario",2872837,1241584,1241584
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","GJ Cahill & Company (1979) Ltd, St John's, Newfoundland and Labrador","Boiler tank replacement, St. John's, Newfoundland and Labrador",897134,897134,897134
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","GNR Corbus Inc, Sherbrooke, Quebec","Major renovations of the hydraulic heating and cooling networks - Phase 2, Sherbrooke, Quebec",2329381,2291606,2291606
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","GR Construction and Site Development, Ottawa, Ontario","Structural rehabilitation for building 55, Ottawa, Ontario",266151,262943,262943
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Kontzamanis Graumann Smith MacMillan Inc, Winnipeg, Manitoba","Architectural and engineering services for greenhouse expansion, Morden, Manitoba",295391,155219,155219
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Les Constructions Béland & Lapointe Inc, Lévis, Quebec","Research greenhouse reconstruction, Québec, Quebec",4052299,3031137,3031137
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","MacLean Construction Ltd, Charlottetown, Prince Edward Island","Lab renovations, Charlottetown, Prince Edward Island",2396276,2222444,2396276
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Monteith Underground Services Ltd, Fredericton, New Brunswick","Sanitary sewer upgrades, Fredericton, New Brunswick",634728,0,611083
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Navco Construction Corp, Port Coquitlam, British Columbia","Barn roof replacement, Agassiz, British Columbia",259205,0,259205
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Oakwood Roofing & Sheet Metal Co Ltd, Winnipeg, Manitoba","Roof replacement, Morden, Manitoba",1086797,535352,535352
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Proteck Roofing & Sheet Metal Inc, Etobicoke, Ontario","Roof replacement, Harrow, Ontario",1906982,1140248,1140248
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Ronam Construction Inc, Lévis, Quebec","Relocation of the Chapais Farm, Saint-Augustin-de-Desmaures, Quebec",4549438,4447719,4447719
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Saskcon Repair Services Ltd, Saskatoon, Saskatchewan","Rehabilitation of Highfield dam, Rush Lake, Saskatchewan",386069,386068,386068
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Silver Ridge Construction, Lethbridge, Alberta","Feed barn rehabilitation, Lethbridge, Alberta",630093,0,630093
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Stantec, Lethbridge, Alberta","Architectural and engineering services for irrigation upgrade, Vauxhall, Alberta",290600,137667,230238
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Stantec, Vancouver, British Columbia","Architectural and engineering services for mechanical and electrical systems upgrade, Summerland, British Columbia",447062,202680,447062
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Taylor Hazell Architects Ltd, Toronto, Ontario","Architectural and engineering services for Harrow research centre greenhouse construction, Harrow, Ontario",278198,95325,218884
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Tonda Construction Limited, London, Ontario","Fume hood exhaust systems upgrade, London, Ontario",399746,399746,399746
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Van Alstine Project Management Inc, Regina, Saskatchewan","Maintenance shop building extension, Indian Head, Saskatchewan",655870,15032,655870
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Westco Construction Ltd, Lethbridge, Alberta","Dairy barn roof replacement, Lethbridge, Alberta",1532513,1446110,1446110
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Wild Stone Engineering Ltd, Penticton, British Columbia","Growth chamber replacement, Summerland, British Columbia",939320,458865,939129
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Wild Stone Engineering Ltd, Penticton, British Columbia","Mechanical and electrical systems upgrade, Summerland, British Columbia",2956277,2305406,2950786
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Winkler Building Supplies (1981) Ltd, Winkler, Manitoba","Greenhouse Expansion, Morden, Manitoba",2481472,1884859,1884859
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Wright Construction Western Inc, Saskatoon, Saskatchewan","Research centre rehabilitation project, Swift Current, Saskatchewan",28469828,14092091,19756967
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Adin Miles International Limited, Abuja, Nigeria","Purchase of official residence, Abuja, Nigeria",4000000,4000000,4000000
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Aktor SA, Kifissia Attica, Greece","Chancery fit-up, Athens, Greece",3665293,0,3645788
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Alejandro Faccini & CIA LTDA, Bogota, Columbia","Chancery heating-ventilation and air conditioning upgrades and modifications, Bogota, Columbia",329000,59308,257870
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Armand Bella, Yaoundé, Cameroon","Purchase of official residence, Yaoundé, Cameroon",1830000,0,1830000
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Ateliers Saint André, Blanquefort, France","Replacement of windows at official residence, Paris, France",1781142,738462,738462
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","AG Insurance SA, Brussels, Belgium","Chancery fit-up, Brussels, Belgium",10355827,10355827,10355827
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Baker & McKenzie LLP, London, United Kingdom","Acquisition of chancery 2/4 Cockspur and lease extension, London, United Kingdom",17163304,17163304,17163304
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Charles Russell Speechlys LLP, London, United Kingdom","Acquisition of eleven staff quarters, London, United Kingdom",27877965,27877965,27877965
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Cit Blaton, Brussels, Belgium","Fit-up of the new chancery, Brussels, Belgium",6118128,366584,5991844
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","ComNet, Ottawa, Ontario","Cable supply installation and testing, Brussels, Belgium",367194,367194,367194
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Construction Outfitters International, Boeme, Texas","Design-build and fit-up of the chancery, Damascus, Syria",6349317,0,3261795
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Contracts under $250,000 and cost plus contracts under $25,000 (199 contractors)",,5786605,4521390,4521390
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","CPM Projects, Silverton, South Africa","Chancery physical security upgrade, Maputo, Mozambique",982103,796467,796467
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","CSI Construction (1997) Ltd, Dar es Salaam, Tanzania","Chancery physical security upgrade, Dar es Salaam, Tanzania",844299,414413,844299
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","E-Gap Solutions Ltd, Nairobi, Kenya","Upgrade of staff quarters and official residence, Nairobi, Kenya",880064,169395,875567
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","ECODI SARL, Ouagadougou, Burkina Faso","Perimeter security upgrade, Ouagadougou, Burkina Faso",554113,82647,82647
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","ETROBA SA, Bamako, Mali","Chancery physical security upgrade, Bamako, Mali",506050,112064,112064
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Green World Unity Construction, Kabul, Afghanistan","Upgrade to staff quarters and dining hall, Kabul, Afghanistan",3118953,1068107,1935082
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Interamericas World Center S A, Guatemala City, Guatemala","Purchase of chancery, Guatemala City, Guatemala",3422580,0,3422580
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","J D Sellier + Co, Port of Spain, Trinidad and Tobago","Acquisition of official residence, Port of Spain, Trinidad and Tobago",2580000,2580000,2580000
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","K E Electrical Services Ltd, Carp, Ontario","Chancery electrical retrofit, Sao Paulo, Brazil",806654,616579,806654
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","M Moser Design and Architecture, Guangzhou, China","Relocation of Consulate General of Canada, Guangzhou, China",2560629,2195615,2560629
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Mandhir Construction, Nairobi, Kenya","Chancery upgrade, Nairobi, Kenya",3851644,0,3550735
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Mitsubishi UFJ Trust and Banking Corporation, Tokyo, Japan","Betterments to the Chancery under the Master Agreement, Tokyo, Japan",7891510,0,7891510
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Mosaika Art + Design, Montréal, Quebec","Integrated art design chancery, Paris, France",288560,24336,24336
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Nahman Construction, Lagos, Nigeria","Construction of new chancery, Abuja, Nigeria",10722761,85000,10722761
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Nile City Investments, Cairo, Egypt","Fit-up of chancery space, Cairo, Egypt",3057833,85822,3057833
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Nile City Investments, Cairo, Egypt","Purchase of chancery, Cairo, Egypt",9870706,0,9680706
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Office notarial Maitre Madina Sylla AG Erlaf, Bamako, Mali","Purchase of chancery, Bamako, Mali",2709815,2709815,2709815
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Pascoal Monteiro Construções Lda, Carnaxide, Portugal","Chancery reconfiguration, Lisbon, Portugal",384138,143277,376064
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","PJSC Ukrsotsbank, Kiev, Ukraine","Acquisition of chancery, Kiev, Ukraine",9476534,9476534,9476534
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Construction office fit-up chancery, Brussels, Belgium",345820,330296,330296
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Construction office fit-up chancery, Riyadh, Saudi Arabia",326332,137243,137243
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Samra Enterprises, Islamabad, Pakistan,","Chancery interior and exterior wall upgrade, Islamabad, Pakistan",1513376,577593,577593
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Samra Enterprises, Islamabad, Pakistan,","Chancery perimeter security upgrade, Islamabad, Pakistan",3607994,507670,507670
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Saraya Albinaa Contracting, Riyadh, Saudi Arabia","Chancery modernization-expansion-fit-up-landscaping and swing space, Riyadh, Saudi Arabia",13668841,2626620,10264580
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","SC360, Ottawa, Ontario","Cable supply installation and testing at NATO headquarters, Brussels, Belgium",336085,117630,336085
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Terlin Construction, Ottawa, Ontario","Building upgrade, Addis Ababa, Ethiopia",2388953,777322,2062645
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Vita Construction Limited, Lagos, Nigeria","Chancery upgrade, Lagos, Nigeria",838613,0,822704
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","WAA Montréal Inc, Montréal, Quebec","Integrated art design Chancery, Paris, France",350000,43488,43488
2016/2017,09,"Global Affairs",005,"Foreign Affairs, Trade and Development","Zelos Developer Private Ltd, Gurgaon, India","Chancery relocation, Chandigarh, India",3430345,2631220,3230373
2016/2017,06,"Environment and Climate Change",007,Environment,"Carleton University, Ottawa, Ontario","Repayment of capital lease obligation on leased research building, Ottawa, Ontario",32500000,711654,8450008
2016/2017,06,"Environment and Climate Change",007,Environment,"Contracts under $250,000 and cost plus contracts under $25,000 (25 contractors)",,0,93137,0
2016/2017,07,Finance,011,"Office of the Superintendent of Financial Institutions","Bentall Kennedy, Toronto, Ontario","Leasehold improvements - FAC013 Toronto 15th Phase 2, Toronto, Ontario",1695689,0,1690303
2016/2017,07,Finance,011,"Office of the Superintendent of Financial Institutions","Bentall Kennedy, Toronto, Ontario","Toronto leasehold improvements construction 22nd to 25th floor, Toronto, Ontario",638076,581431,619987
2016/2017,07,Finance,011,"Office of the Superintendent of Financial Institutions","Brookfield, Montréal, Quebec","Montréal leasehold improvements, Montréal, Quebec",779442,663717,747285
2016/2017,07,Finance,011,"Office of the Superintendent of Financial Institutions","Contracts under $250,000 and cost plus contracts under $25,000 (3 contractors)",,0,240302,0
2016/2017,19,"Privy Council",015,"Office of the Chief Electoral Officer","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)",,0,10800,0
2016/2017,16,"National Defence",018,"National Defence","A and J Hanna Construction Ltd, Lincoln, New Brunswick","Insulation/Siding/Windows, Gagetown, New Brunswick",1251555,5878,1248210
2016/2017,16,"National Defence",018,"National Defence","A and J Hanna Construction Ltd, Lincoln, New Brunswick","Washroom Renovation, Gagetown, New Brunswick",817429,459377,817429
2016/2017,16,"National Defence",018,"National Defence","A Fresh Look Painting and Decorating, Winnipeg, Manitoba","Kitchen Renovations, Winnipeg, Manitoba",816000,120567,507750
2016/2017,16,"National Defence",018,"National Defence","Access Contracting Limited, Waterville, Nova Scotia","Construction Works - Buildings, Greenwood, Nova Scotia",586447,586447,586447
2016/2017,16,"National Defence",018,"National Defence","Access Contracting Limited, Waterville, Nova Scotia","Construction Works - Buildings, Greenwood, Nova Scotia",271326,271326,271326
2016/2017,16,"National Defence",018,"National Defence","Access Contracting Limited, Waterville, Nova Scotia","Construction Works - Buildings, Greenwood, Nova Scotia",772678,772678,772678
2016/2017,16,"National Defence",018,"National Defence","Access Contracting Limited, Waterville, Nova Scotia","Construction Works - Buildings, Greenwood, Nova Scotia",504018,453732,453732
2016/2017,16,"National Defence",018,"National Defence","Access Contracting Limited, Waterville, Nova Scotia","Replacement of Windows and Heating Ventilation and Air Conditioning System 216, Greenwood, Nova Scotia",550000,1500,474891
2016/2017,16,"National Defence",018,"National Defence","Acme Future Security Controls Inc, Ottawa, Ontario","Construction Works - Buildings, Ottawa, Ontario",498985,0,0
2016/2017,16,"National Defence",018,"National Defence","Acrow Limited, Bolton, Ontario","Cattalo Bridge Upgrade - Wainwright Garrison, Wainwright, Alberta",334606,325106,325106
2016/2017,16,"National Defence",018,"National Defence","Acrow Limited, Bolton, Ontario","MacDonald Bridge Upgrade - Wainwright Garrison, Wainwright, Alberta",625479,568820,568820
2016/2017,16,"National Defence",018,"National Defence","Adias Impex Ltd o/a Carpet Plus Flooring, Woodbridge, Ontario","Minor Recapitalization of CC and C Style Housing, Quinte West, Ontario",588466,6640,588466
2016/2017,16,"National Defence",018,"National Defence","Allen Mechanical Inc, Kingston, Ontario","Repairs R95 Dome Drainage and Steam Distribution Network, Kingston, Ontario",802801,81514,802801
2016/2017,16,"National Defence",018,"National Defence","Almiq Contracting Ltd, Iqaluit, Nunavut","Nanisivik Construction and Consulting Services, Nanisivik, Nunavut",66000000,15907559,43763733
2016/2017,16,"National Defence",018,"National Defence","Amec Construction Inc, Saguenay, Quebec","Minor Recapitalization of Cadet Camps, Bagotville, Quebec",432055,59850,432055
2016/2017,16,"National Defence",018,"National Defence","Amec Construction Inc, Saguenay, Quebec","Minor Recapitalization of Residential Housing Units, Saint Hubert, Quebec",312174,28459,312174
2016/2017,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Building Completion and Finishing, Suffield, Alberta",343458,343458,343458
2016/2017,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Installation Work, Suffield, Alberta",257720,255564,255564
2016/2017,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Renovation and Upgrade B19 Building, Redcliff, Alberta",786379,127617,786378
2016/2017,16,"National Defence",018,"National Defence","Aquicon Construction Company Ltd, Brampton, Ontario","All Ranks Dining Facility # 2 Vickers-North Kitchen, Borden, Ontario",17900000,122013,17849114
2016/2017,16,"National Defence",018,"National Defence","Atlantic Roofers Ltd, Oromocto, New Brunswick","Special Trade Construction Work, Oromocto, New Brunswick",611628,611628,611628
2016/2017,16,"National Defence",018,"National Defence","Atlantica Mechanical Contractors Inc, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",2698190,150000,150000
2016/2017,16,"National Defence",018,"National Defence","Avondale Construction Limited, Halifax, Nova Scotia","Upgrade Floor Various Rooms SH1, Halifax, Nova Scotia",305177,130308,305177
2016/2017,16,"National Defence",018,"National Defence","Aztec Builders Ltd, Oakbank, Manitoba","Construction Works - Buildings, Oakbank, Manitoba",257000,149000,149000
2016/2017,16,"National Defence",018,"National Defence","Aztec Builders Ltd, Oakbank, Manitoba","Special Trade Construction Work, Winnipeg, Manitoba",400673,386115,386115
2016/2017,16,"National Defence",018,"National Defence","Aztec Builders Ltd, Oakbank, Manitoba","Upgrade to Building 28, Winnipeg, Manitoba",431547,400171,431547
2016/2017,16,"National Defence",018,"National Defence","AFW Construction Ltd, Kingston, Ontario","Construction Works - Buildings, Kingston, Ontario",410038,410038,410038
2016/2017,16,"National Defence",018,"National Defence","AGC and Associates Inc, Quinte West, Ontario","Fence Upgrade, Quinte West, Ontario",326800,9581,326800
2016/2017,16,"National Defence",018,"National Defence","AGC and Associates Inc, Quinte West, Ontario","Replace Shower and Tub Stalls of Building 237, Quinte West, Ontario",128142,0,128142
2016/2017,16,"National Defence",018,"National Defence","ALL 'N ALL Construction Inc, Moose Jaw, Saskatchewan","Minor Recapitalization of 7 Singles and Duplex Residential Housing Units, Moose Jaw, Saskatchewan",1245991,57110,1245990
2016/2017,16,"National Defence",018,"National Defence","AMAN Builders Inc, Edmonton, Alberta","Construction Works - Buildings, Edmonton, Alberta",37612933,12121384,12121384
2016/2017,16,"National Defence",018,"National Defence","Babcock Canada Inc, Victoria, British Columbia","Upgrade Shops and Office Buildings for In Service Support to Victoria Class Submarine, Victoria, British Columbia",7978895,0,7978895
2016/2017,16,"National Defence",018,"National Defence","Bell Multi Construction Inc, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",321254,307936,307936
2016/2017,16,"National Defence",018,"National Defence","Bell Multi Construction Inc, Halifax, Nova Scotia","Installation Work, Halifax, Nova Scotia",455571,455571,455571
2016/2017,16,"National Defence",018,"National Defence","Bell Multi Construction Inc, Halifax, Nova Scotia","Installation Work, Halifax, Nova Scotia",343719,343719,343719
2016/2017,16,"National Defence",018,"National Defence","Ben Wiebe Construction (1985) Ltd, Shilo, Manitoba","Construction Works - Buildings, Shilo, Manitoba",407111,320780,320780
2016/2017,16,"National Defence",018,"National Defence","Benchmark Construction Management Corp, Calgary, Alberta","Renovate Slave Tower, Cold Lake, Alberta",318369,0,318369
2016/2017,16,"National Defence",018,"National Defence","Bird Design-Build Construction Inc, Bedford, Nova Scotia","Design and Construction - Pleasantville Consolidation Project, St. John's, Newfoundland and Labrador",122161115,45000,122041689
2016/2017,16,"National Defence",018,"National Defence","Black and McDonald Ltd, Ottawa, Ontario","Chiller System Replacement in Building G-14, Ottawa, Ontario",366850,121123,366850
2016/2017,16,"National Defence",018,"National Defence","Black and McDonald Ltd, Ottawa, Ontario","Repairs and Upgrades to Building H119, Ottawa, Ontario",324561,324561,324561
2016/2017,16,"National Defence",018,"National Defence","Black and McDonald Ltd, Ottawa, Ontario","Upgrade to Electrical Systems at Central Heating Plant, Ottawa, Ontario",941041,768208,940603
2016/2017,16,"National Defence",018,"National Defence","Black and McDonald Ltd, Ottawa, Ontario","Upgrade to High Voltage Distribution System, Ottawa, Ontario",8800083,4273090,5803537
2016/2017,16,"National Defence",018,"National Defence","Blue Lake Construction Corp, Winnipeg, Manitoba","Construction Works - Buildings, Shilo, Manitoba",944173,944173,944173
2016/2017,16,"National Defence",018,"National Defence","Blue Lake Construction Corp, Winnipeg, Manitoba","Minor Recapitalization for JJ and KK Style Houses, Winnipeg, Manitoba",352148,201048,352148
2016/2017,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",321456,318956,318956
2016/2017,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",359095,359095,359095
2016/2017,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Recapitalization of three 744 Style Residential Housing Units, Halifax, Nova Scotia",466303,7542,466303
2016/2017,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Replace Electrical Distribution & Emergency Shore Power CFAD Bedford, Halifax, Nova Scotia",1500000,112055,1426215
2016/2017,16,"National Defence",018,"National Defence","Bondfield Construction Company Ltd, Vaughan, Ontario","Construction of Hangar 6, Quinte West, Ontario",44335470,2994051,42829521
