Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","Lethbridge research and development centre laboratory annex exterior envelope replacement, Lethbridge, Alberta",3544080,0,3544080
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chandos Construction LP, Calgary, Alberta","New Lacombe abattoir, Lacombe, Alberta",347729,199089,347729
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Chriscan Construction, Saskatoon, Saskatchewan","Elevator replacement, Saskatoon, Saskatchewan",1017054,591474,591474
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Construction Bon-Air, Saint-Félicien, Quebec","Replacement of particles and dust collection equipment systems at Normandin, Montréal, Quebec",490127,485227,485227
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Construction Bugère Inc, Saint-Hyacinthe, Quebec","Roofs refection of the main building, Saint-Hyacinthe, Quebec",1138239,479077,1138239
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Construction GCP Inc, St-Jean-sur-Richelieu, Quebec","Re-roofing of the garage of building 4, Montréal, Quebec",310401,264898,264898
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Contracts under $250,000 and cost plus contracts under $25,000 (219 contractors)",Total,0,5394015,0
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","Growth chamber replacement, London, Ontario",906345,0,906345
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Controlled Environments Ltd, Winnipeg, Manitoba","New growth chambers, Summerland, British Columbia",3177409,0,3177409
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Cougar Engineering & Construction Ltd, St John's, Newfoundland and Labrador","Sanitary sewer upgrades, St John's research and development centre, St John's, Newfoundland and Labrador",963875,0,963875
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Couverture Montréal Nord Ltée, St-Léonard, Quebec","Roof refection main building lot 2, St-Hyacinthe, Quebec",375008,362908,362908
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","CLS Roofing, Ottawa, Ontario","Central experimental farm building 88 roof replacement, Ottawa, Ontario",748076,608250,608250
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Defran Inc, Gatineau, Quebec","Saunders renovation, building 49, Ottawa, Ontario",336354,113239,336354
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Fournier Gersovitz Moss Drolet & Associés Architectes, Montréal, Quebec","Architectural and engineering services for building 54 envelope conservation, Ottawa, Ontario",502624,22095,502624
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","FWBA Architects, Lethbridge, Alberta","Lab annex exterior envelope replacement, Lethbridge, Alberta",257910,20715,257910
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","G Hahn Contracting Ltd,
Fort Qu'Appelle, Saskatchewan","Pesticide and chemical storage facility, Indian Head research farm, Indian Head, Saskatchewan",867197,29657,867197
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Gagnon Letellier Cyr Ricard Mathieu & Associés Architectes, Québec, Quebec","Architectural and engineering services for research greenhouse reconstruction, Québec, Quebec",783952,4452,783952
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","JP Gravel Construction Inc, Ottawa, Ontario","Renovation of laboratory 1007-1024, Building 20, Ottawa, Ontario",469299,0,469299
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","K&L Construction (Ontario) Ltd, London, Ontario","London exhaust fume manifold project, London, Ontario",2055597,1704603,1704603
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Kontzamanis Graumann Smith MacMillan Inc, Winnipeg, Manitoba","Architectural and engineering services for greenhouse expansion, Morden, Manitoba",293691,0,293691
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Les Constructions Béland & Lapointe Inc, Lévis, Quebec","Research greenhouse reconstruction, Québec, Quebec",4176616,0,4176616
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","LAT49 Architecture Inc, St John's, Newfoundland and Labrador","St John's research and development centre expansion and retrofit, St John's, Newfoundland and Labrador",897703,212678,212678
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Martech Electrical Systems Ltd, Castlegar, British Columbia","Transformers upgrade, Lethbridge research and development centre, Lethbridge, Alberta",1837126,29007,1837126
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","MIRA Construction Ltd, Fredericton, New Brunswick","Removal of surplus infrastructures and installation of Arch buildings, Fredericton, New Brunswick",1025339,0,1025339
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","MVA Power Inc, Montréal, Quebec","Main transformer replacement, Lethbridge, Alberta",277555,13878,277555
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Peak Mechanical Partnership, Saskatoon, Saskatchewan","Modifications to cryobank heating ventilation and air conditioning, Saskatoon, Saskatchewan",330188,0,330188
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Stantec, Lethbridge, Alberta","Architectural and engineering services for irrigation upgrade, Vauxhall, Alberta",380698,5909,267343
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Stantec, London, Ontario","Architectural and engineering services for London Exhaust Fume Manifold Project, London, Ontario",298530,106416,106416
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Stantec, Longueuil, Quebec","Replacement of controls, Saint-Hyacinthe, Quebec",420525,231064,231064
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Stantec, Vancouver, British Columbia","Architectural and engineering services for mechanical and electrical systems upgrade, Summerland, British Columbia",332082,0,332082
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Taylor Hazell Architects Ltd, Toronto, Ontario","Architectural and engineering services for Harrow research centre greenhouse construction, Harrow, Ontario",343539,0,343539
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Titan Contracting Ltd, Windsor, Ontario","Harrow building 84 for lab block modernization, Montréal, Quebec",263885,258070,258070
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Tower Engineering Group Limited Partnership and Calnitsky Associates Architects Inc, Winnipeg, Manitoba","Planning and rehabilitation of the research center abattoir, Lacombe, Alberta",942441,152097,942441
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Trainor Mechanical Contractors Ltd, Nelson, British Columbia","Beaverlodge administration building boiler replacement, Beaverlodge, Alberta",476870,36265,476870
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","Wright Construction Western Inc, Saskatoon, Saskatchewan","Research centre rehabilitation project, Swift Current, Saskatchewan",30931617,414971,30931617
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","WSP Canada Inc, Montréal, Quebec","Architectural and engineering services for supply and installation of a bioreactor, Sherbrooke, Quebec",332744,68734,208862
2019/2020,02,"Agriculture and Agri-Food",001,"Department of Agriculture and Agri-Food","4089171 Canada Inc, Ottawa, Ontario","Renovations of room 2048-2050, building 20, Ottawa, Ontario",396654,6654,396654
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","AV Application, Paris, France","Chancery lightning, Paris, France",408114,298906,408113
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Baker & McKenzie LLP, London, United Kingdom","Acquisition of official residence, London, United Kingdom",18346946,0,18267161
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Black & McDonald Ltd, Ottawa, Ontario","Electrical update, Rabat, Morocco",1520743,1027997,1505868
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Build-HAAP Ghana Ltd, Accra, Ghana","Security upgrade, Accra, Ghana",666045,657408,657408
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Construction Outfitters International, Boeme, Texas","Design-build and fit-up of chancery, Damascus, Syria",6349317,0,3261795
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Contracts under $250,000 and cost plus contracts under $25,000 (99 contractors)",Total,0,8138289,0
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","ES Moss Ltd, Watford, United Kingdom","Refurbishment of staff quarters, London, United Kingdom",934335,323990,323990
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Foreign & CommonWealth Office, Buckinghamshire, United Kingdom","Security upgrade, New Delhi, India",473851,425204,425204
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Green World Unity Construction, Kabul, Afghanistan","Upgrade to staff quarters and dining hall, Kabul, Afghanistan",6264098,0,3506973
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Kancelaria Notarialna Karolina Wolf, Warsaw, Poland","Official residence replacement, Warsaw, Poland",3904954,3514954,3904954
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Kancelaria Notarialna Karolina Wolf, Warsaw, Poland","Purchase of staff quarters, Warsaw, Poland",1335400,344,344
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Lester Aldridge LLP, London, United Kingdom","Purchase of staff quarters, London, United Kingdom",2550191,2550191,2550191
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Security upgrade, Islamabad, Pakistan",687615,179585,179585
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Security upgrade, Kabul, Afghanistan",2359816,329266,2193535
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Security upgrade, Khartoum, Sudan",550917,217708,494766
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Security upgrade, New York, New York",1565154,44521,844063
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Reykjavik Law Firm, Reykjavik, Iceland","Official residence replacement, Reykjavik, Iceland",2873995,2873883,2873883
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","RXR Construction & Development LLC, Uniondale, New York","Construction of chancery, New York, New York",23768094,221781,23242521
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Saelzer GmbH, Hamburg, Germany","Chancery window upgrade, Islamabad, Pakistan",1780776,878624,1112028
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Samra Enterprises, Islamabad, Pakistan,","Chancery perimeter security upgrade, Islamabad, Pakistan",4645785,318052,3348249
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Taysec Construction Limited, Accra, Ghana","Chancery security upgrade, Accra, Ghana",1621381,43747,1621381
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Terlin Construction, Ottawa, Ontario","Chancery modernization-expansion-fit-up-landscaping and swing space, Ouagadougou, Burkina Faso",2718477,1645162,1645161
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Terlin Construction, Ottawa, Ontario","Chancery modernization-expansion-fit-up-landscaping and swing space, Riyadh, Saudi Arabia",3387336,1184833,2918941
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Terlin Construction, Ottawa, Ontario","Security upgrade, Tunis, Tunisia",1505231,1017717,1017717
2019/2020,09,"Global Affairs",005,"Department of Foreign Affairs, Trade and Development","T3P construction Inc, Longueuil, Quebec","Development of a demonstration window on the 4th floor, Montréal, Quebec",433290,426341,426341
2019/2020,07,Finance,006,"Department of Finance","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)",Total,0,1771,0
2019/2020,06,"Environment and Climate Change",007,"Department of the Environment","Carleton University, Ottawa, Ontario","Repayment of capital lease obligation on leased research building, Ottawa, Ontario",32500000,838754,10834531
2019/2020,06,"Environment and Climate Change",007,"Department of the Environment","Contracts under $250,000 and cost plus contracts under $25,000 (9 contractors)",Total,0,164435,0
2019/2020,06,"Environment and Climate Change",007,"Department of the Environment","Diamond & Diamond Lawyers LLP In Trust, Toronto, Ontario","Land Acquisition, Milford, Ontario",627000,627000,627000
2019/2020,07,Finance,011,"Office of the Superintendent of Financial Institutions","BentallGreenOak, Toronto, Ontario","Toronto 26th floor fit-up, Toronto, Ontario",1341814,111276,111276
2019/2020,07,Finance,011,"Office of the Superintendent of Financial Institutions","Contracts under $250,000 and cost plus contracts under $25,000 (6 contractors)",Total,0,244771,0
2019/2020,07,Finance,011,"Office of the Superintendent of Financial Institutions","Great West Life, Montreal, Quebec","Montreal new office fit-up, Montreal, Quebec",1261768,1228503,1228503
2019/2020,19,"Privy Council",015,"Office of the Chief Electoral Officer","Contracts under $250,000 and cost plus contracts under $25,000(17 contractors)",Total,0,59505,0
2019/2020,19,"Privy Council",015,"Office of the Chief Electoral Officer","Public Works and Government Services Canada, Gatineau, Quebec","Leasehold Improvement - 22 Eddy, Gatineau, Quebec",1361017,823020,823020
2019/2020,19,"Privy Council",015,"Office of the Chief Electoral Officer","Public Works and Government Services Canada, Gatineau, Quebec","Leasehold Improvement - 30 Victoria, Gatineau, Quebec",1375956,1238398,1332895
2019/2020,16,"National Defence",018,"Department of National Defence","A Fresh Look Painting & Decorating, Winnipeg, Manitoba","Construction Works - Buildings, Winnipeg, Manitoba",674247,43404,674247
2019/2020,16,"National Defence",018,"Department of National Defence","Access Contracting Limited, Waterville, Nova Scotia","Construction Works - Buildings, Waterville, Nova Scotia",1599019,561460,1599019
2019/2020,16,"National Defence",018,"Department of National Defence","Ador-A-Floor Hardwood Co Ltd, Edmonton, Alberta","Construction Works - Buildings, Edmonton, Alberta",677354,677354,677354
2019/2020,16,"National Defence",018,"Department of National Defence","Ainsworth Inc, Montréal, Quebec","Construction Works - Buildings, Montréal, Quebec",251300,91811,108127
2019/2020,16,"National Defence",018,"Department of National Defence","Allen Mechanical Inc, Kingston, Ontario","Construction Works - Buildings, Kingston, Ontario",267476,267476,267476
2019/2020,16,"National Defence",018,"Department of National Defence","Almiq Contracting Ltd, Iqaluit, Nunavut","Nanisivik Construction and Consulting Services, Nanisivik, Nunavut",68690219,6000000,64473877
2019/2020,16,"National Defence",018,"Department of National Defence","Amec Construction Inc, Saguenay, Quebec","Construction Works - Buildings, Saguenay, Quebec",2154493,1250736,2149893
2019/2020,16,"National Defence",018,"Department of National Defence","Amec Construction Inc, Saguenay, Quebec","Construction Works - Buildings, Saguenay, Quebec",2067000,431400,431400
2019/2020,16,"National Defence",018,"Department of National Defence","Amec Construction Inc, Saguenay, Quebec","Construction Works - Buildings, Saguenay, Quebec",354894,232255,354894
2019/2020,16,"National Defence",018,"Department of National Defence","Amec Construction Inc, Saguenay, Quebec","Construction Works - Buildings, Saguenay, Quebec",624682,36516,624682
2019/2020,16,"National Defence",018,"Department of National Defence","Apex Steel & Gas Ltd, Victoria, British Columbia","Construction Works - Buildings, Victoria, British Columbia",923494,653344,915494
2019/2020,16,"National Defence",018,"Department of National Defence","Architecture49 Inc, Ottawa, Ontario","Construction Works - Buildings, Petawawa, Ontario",1204733,0,0
2019/2020,16,"National Defence",018,"Department of National Defence","Armoclan Engineering Ltd, Toronto, Ontario","Construction Works - Buildings, Toronto, Ontario",2405482,1656719,2367232
2019/2020,16,"National Defence",018,"Department of National Defence","Armoclan Engineering Ltd, Toronto, Ontario","Construction Works - Buildings, Toronto, Ontario",897922,264252,897922
2019/2020,16,"National Defence",018,"Department of National Defence","Arnil Construction Ltd, Moose Jaw, Saskatchewan","Construction Works - Buildings, Moose Jaw, Saskatchewan",533194,186651,533194
2019/2020,16,"National Defence",018,"Department of National Defence","Asbestos Abatement Limited, Dartmouth, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",435970,435970,435970
2019/2020,16,"National Defence",018,"Department of National Defence","Atlantic Metaclad Limited, Cocagne, New Brunswick","Construction Works - Buildings, Fredericton, New Brunswick",789051,789051,789051
2019/2020,16,"National Defence",018,"Department of National Defence","Atlantic Roofers Limited (Dartmouth), Elmsdale, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",293236,249236,249236
2019/2020,16,"National Defence",018,"Department of National Defence","Atlantic Roofers Ltd, Cocagne, New Brunswick","Construction Works - Buildings, Halifax, Nova Scotia",345717,320717,320717
2019/2020,16,"National Defence",018,"Department of National Defence","Avondale Construction Limited, Halifax, Nova Scotia","Construction Works - Buildings, Fredericton, New Brunswick",705289,705289,705289
2019/2020,16,"National Defence",018,"Department of National Defence","Avondale Construction Limited, Halifax, Nova Scotia","Construction Works - Buildings, Fredericton, New Brunswick",1955426,1826591,1826591
2019/2020,16,"National Defence",018,"Department of National Defence","Avondale Construction Limited, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",433239,254317,401370
2019/2020,16,"National Defence",018,"Department of National Defence","Avondale Construction Limited, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",1055104,341794,1055104
2019/2020,16,"National Defence",018,"Department of National Defence","Avondale Construction Limited, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",592885,4184,592885
2019/2020,16,"National Defence",018,"Department of National Defence","AFW Construction Ltd, Kingston, Ontario","Construction Works - Buildings, Kingston, Ontario",345453,5580,345453
2019/2020,16,"National Defence",018,"Department of National Defence","AFW Construction Ltd, Kingston, Ontario","Construction Works - Buildings, Kingston, Ontario",1473656,10000,1473656
2019/2020,16,"National Defence",018,"Department of National Defence","AGC and Associates Inc, Quinte West, Ontario","Construction Works - Buildings, Quinte West, Ontario",2182002,691309,2182002
2019/2020,16,"National Defence",018,"Department of National Defence","AMAN Builders Inc, Edmonton, Alberta","Construction Works - Buildings, Edmonton, Alberta",42481840,1093636,42401834
2019/2020,16,"National Defence",018,"Department of National Defence","ATCO Structures & Logistics, Calgary, Alberta","Construction Works - Buildings, Calgary, Alberta",469336,464971,464971
2019/2020,16,"National Defence",018,"Department of National Defence","ATCO Structures & Logistics, Calgary, Alberta","Construction Works - Buildings, Calgary, Alberta",4547467,78408,4547467
2019/2020,16,"National Defence",018,"Department of National Defence","Babcock Canada Inc, Victoria, British Columbia","Construction Works - Buildings, Victoria, British Columbia",637123,0,637123
2019/2020,16,"National Defence",018,"Department of National Defence","Barron's Refrigeration & Heating Ltd, Cold Lake, Alberta","Construction Works - Buildings, Cold Lake, Alberta",1933521,0,1933521
2019/2020,16,"National Defence",018,"Department of National Defence","Be-Con Inc, Québec, Quebec","Construction Works - Buildings, Québec, Quebec",871780,50211,871780
2019/2020,16,"National Defence",018,"Department of National Defence","Ben Wiebe Construction (1985) Ltd, Brandon, Manitoba","Construction Works - Buildings, Brandon, Manitoba",1828202,1790820,1790820
2019/2020,16,"National Defence",018,"Department of National Defence","Bernard Rochefort Limited, Astorville, Ontario","Construction Works - Buildings, North Bay, Ontario",898100,425945,898100
2019/2020,16,"National Defence",018,"Department of National Defence","Bird Construction Group, Bedford, Nova Scotia","Construction Works - Buildings, Bedford, Nova Scotia",12947452,6782918,12817718
2019/2020,16,"National Defence",018,"Department of National Defence","Bird Construction Group, St John's, Newfoundland and Labrador","Construction Works - Buildings, Halifax, Nova Scotia",4991015,4938421,4938421
2019/2020,16,"National Defence",018,"Department of National Defence","Bird Construction Group, St. John's, Newfoundland and Labrador","Construction Works - Buildings, Halifax, Nova Scotia",1081106,1008179,1008179
2019/2020,16,"National Defence",018,"Department of National Defence","Black & McDonald Limited (Scarborough), Scarborough, Ontario","Construction Works - Buildings, Victoria, British Columbia",416128,0,0
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Construction Works - Buildings, Halifax, Nova Scotia",467600,447600,467600
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Construction Works - Buildings, Ottawa, Ontario",301023,137518,236423
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Construction Works - Buildings, Saskatoon, Saskatchewan",561551,218839,561551
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Construction Works - Buildings, Toronto, Ontario",289089,0,289089
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Construction Works - Buildings, Toronto, Ontario",347368,272368,347368
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Construction Works - Buildings, Toronto, Ontario",577426,568367,577426
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Property & Facilities Management, Ottawa, Ontario",892482,31529,892482
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Special Trade Construction Work, Toronto, Ontario",987326,775261,987326
2019/2020,16,"National Defence",018,"Department of National Defence","Black and McDonald Ltd, Ottawa, Ontario","Upgrade to High Voltage Distribution System, Ottawa, Ontario",10627402,24922,10627401
2019/2020,16,"National Defence",018,"Department of National Defence","Blue Water Construction (2010) Ltd, Powerview, Manitoba","Construction Works - Buildings, Shilo, Manitoba",443000,10000,10000
2019/2020,16,"National Defence",018,"Department of National Defence","Blue Water Systems Ltd, Delta, British Columbia","Special Trade Construction Work, Delta, British Columbia",13282485,456218,13282485
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction (1995) Limited, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",310034,310034,310034
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction (1995) Limited, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",280195,280195,280195
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",337567,35400,337567
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",635253,422619,635253
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",1019403,787018,1019403
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",1260730,630102,1260730
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",362810,42011,362810
2019/2020,16,"National Defence",018,"Department of National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Construction Works - Buildings, Halifax, Nova Scotia",408026,55772,408026
2019/2020,16,"National Defence",018,"Department of National Defence","Boald Construction Management Ltd, Edmonton, Alberta","Construction Works - Buildings, Edmonton, Alberta",1074948,650548,1074948
2019/2020,16,"National Defence",018,"Department of National Defence","Bondfield Construction Company Ltd, Vaughan, Ontario","Construction of Hangar 6, Quinte West, Ontario",43545346,0,43545346
2019/2020,16,"National Defence",018,"Department of National Defence","Bondfield Construction Company Ltd, Vaughan, Ontario","Construction Works - Buildings, Petawawa, Ontario",33676266,6164871,32194530
2019/2020,16,"National Defence",018,"Department of National Defence","Brandon Heating & Plumbing, Brandon, Manitoba","Construction Works - Buildings, Shilo, Manitoba",899922,809985,899922
2019/2020,16,"National Defence",018,"Department of National Defence","Brandon Heating & Plumbing, Brandon, Manitoba","Construction Works - Buildings, Shilo, Manitoba",457064,17583,457064
2019/2020,16,"National Defence",018,"Department of National Defence","Buddy Haegele Enterprises Ltd, Belleville, Ontario","Construction Works - Buildings, Trenton, Ontario",883133,501882,501882
2019/2020,16,"National Defence",018,"Department of National Defence","BCF sencrl, Montréal, Quebec","Purchase Building, Montréal, Quebec",8000000,8000000,8000000
2019/2020,16,"National Defence",018,"Department of National Defence","BG Gorham Construction Inc, Ottawa, Ontario","Construction Works - Buildings, Ottawa, Ontario",442940,161538,161538
