Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2024/2025,04,"Patrimoine canadien","Canadian Heritage",145,"Library and Archives of Canada","Bibliothèque et Archives du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées S E C, Markham, Ontario","Roof replacement, Renfrew, Ontario","Remplacement du toit, Renfrew, Ontario",8553220,5759968,5997867
2024/2025,04,"Patrimoine canadien","Canadian Heritage",145,"Library and Archives of Canada","Bibliothèque et Archives du Canada","City of Ottawa,Ottawa, Ontario","Ville d'ottawa, Ottawa, Ontario","Library and Archives Canada - Ottawa Public Library joint facility project, Ottawa Ontario","Projet d'installation conjointe Bibliothèque et Archives Canada - Bibliothèque publique d'Ottawa, Ottawa, Ontario",147462263,31965127,96680301
2024/2025,04,"Patrimoine canadien","Canadian Heritage",145,"Library and Archives of Canada","Bibliothèque et Archives du Canada","Plenary Properties Gatineau LP, Vancouver, British Columbia","Plenary Properties Gatineau LP, Vancouver, Colombie-Britannique","Preservation Storage Facility, Gatineau, Quebec","Édifice d'entreposage et de préservation, Gatineau, Québec",171582669,2835856,44988635
2024/2025,20,"Services publics et Approvisionnement","Public Services and Procurement",163,"Shared Services Canada","Services partagés Canada","Borden LP, Toronto, Ontario","Borden LP, Toronto, Ontario","Public private partnership - Enterprise Data Centre Borden, Borden, Ontario","Partenariat public-privé - Centre de données d'entreprise de Borden, Borden, Ontario",140532476,4052474,38899657
2024/2025,16,"Défense nationale","National Defence",165,"Communications Security Establishment","Centre de la sécurité des télécommunications","Plenary Properties, Ottawa, Ontario","Plenary Properties, Ottawa, Ontario","Public-private partnership arrangement to design build and finance, Ottawa, Ontario","Partenariat public-privé de type conception construction et financement, Ottawa, Ontario",1170095399,15770512,418049108
2024/2025,17,"Énergie et Ressources naturelles","Energy and Natural Resources",195,"Canadian Energy Regulator","Régie canadienne de l'énergie","Public Works and Government Services, Gatineau, Québec","Travaux publics et Services gouvernementaux, Gatineau, Québec","Fit-Up Centre 10, Calgary, Alberta","Aménagement Centre 10, Calgary, Alberta",1986732,112973,2099705
2024/2025,17,"Énergie et Ressources naturelles","Energy and Natural Resources",195,"Canadian Energy Regulator","Régie canadienne de l'énergie","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (1 entrepreneur)",Total,Total,0,0,0
2024/2025,06,"Environnement et Changement climatique","Environment and Climate Change",007,"Department of the Environment","Ministère de l'Environnement","Cox & Palmer, Fredericton, New Brunswick","Cox & Palmer, Frédéricton, Nouveau-Brunswick","Portobello National Wildife Area Granview Farms land acquisition, Oromocto, New Brunswick","Acquisition de terrains à Granview Farms, Réserve nationale de faune de Portobello, Oromocto, Nouveau-Brunswick",335000,335000,335000
2024/2025,06,"Environnement et Changement climatique","Environment and Climate Change",007,"Department of the Environment","Ministère de l'Environnement","Emm Law Incorporated, Port Hawkesbury, Nova Scotia","Emm Law Incorporated, Port Hawkesbury, Nouvelle-Écosse","Atlantic Archipelago land acquisition, Jerseyman, Nova Scotia","Acquisition de terres Archipel atlantique, Jerseyman, Nouvelle-Écosse",425000,425000,425000
2024/2025,06,"Environnement et Changement climatique","Environment and Climate Change",007,"Department of the Environment","Ministère de l'Environnement","Fownes Law Offices Inc Trust Accounting, Halifax, Nova Scotia","Fownes Law Offices Inc Trust Accounting, Halifax, Nouvelle-Écosse","Migratory Birds Sanctuary Land Acquisition, Czerny, Nova Scotia","Acquisition de terrains pour le sanctuaire d'oiseaux migrateurs, Czerny, Nouvelle-Écosse",267000,267000,267000
2024/2025,06,"Environnement et Changement climatique","Environment and Climate Change",007,"Department of the Environment","Ministère de l'Environnement","Harding Law Inc, Shelburne, Nova Scotia","Harding Law Inc, Shelburne, Nouvelle-Écosse","Migratory Birds Sanctuary Land Acquisition, South Shore, Nova Scotia","Acquisition de terrains pour le sanctuaire d'oiseaux migrateurs, South Shore, Nouvelle-Écosse",479800,479800,479800
2024/2025,06,"Environnement et Changement climatique","Environment and Climate Change",007,"Department of the Environment","Ministère de l'Environnement","Khattar & Khattar Barristers & Solicitors, Sydney, Nova Scotia","Khattar & Khattar Barristers & Solicitors, Sydney, Nouvelle-Écosse","Atlantic Archipelago land acquisition, Little Lorraine Doherty, Nova Scotia","Acquisition de terres Archipel atlantique, Little Lorraine Doherty, Nouvelle-Écosse",320000,320000,320000
2024/2025,04,"Patrimoine canadien","Canadian Heritage",145,"Library and Archives of Canada","Bibliothèque et Archives du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées S E C, Markham, Ontario","Electrical equipment replacement, Renfrew, Ontario","Remplacement d'équipement électrique,Renfrew, Ontario",4524228,155601,743334
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Brookfield Global Integrated Solutions CA, Markham, Ontario","Brookfield Global Integrated Solutions CA, Markham, Ontario","Rehabilitation of Lester B Pearson building (A-B-C-D), Ottawa, Ontario","Rénovation de l'immeuble Lester B Pearson (A-B-C-D), Ottawa, Ontario",116034048,13443559,59633494
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Dijkxhoorn Bouw, The Hague, Netherlands","Dijkxhoorn Bouw, La Hague, Pays-Bas","Renovation of staff quarters, The Hague, Netherlands","Rénovation des logements du personnel, La Hague, Pays-Bas",884550,265637,859986
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Samra Enterprises, Islamabad, Pakistan","Samra Enterprises, Islamabad, Pakistan,","Chancery perimeter security upgrade, Islamabad, Pakistan","Amélioration de la sécurité du périmètre de la chancellerie, Islamabad, Pakistan",7209634,58496,5434652
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Withers Bergman LLP, New York, United States","Withers Bergman LLP, New York, États-Unis","Purchase of an official residence, New York, United States","Achat d'une résidence officielle, New York, États-Unis",9175875,9175875,9175875
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Welch and Rushe, LLC, Maryland, United States","Welch and Rushe, LLC, Maryland, États Unis","Replacement of boilers at the chancery, Maryland, United States","Remplacement des chaudières de la chancellerie, Maryland, États-Unis",684858,645412,645412
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","C.ED. Impianti s.r.l., Rome, Italy","C.ED. Impianti s.r.l., Rome, Italie","Heating, ventilation and air conditioning replacement, Rome, Italy","Remplacement du système de chauffage, ventilation et climatisation, Rome, Italie",342665,308777,308777
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","3-101-638173 S.A, San José, Costa Rica","3-101-638173 S.A, San José, Costa Rica","Chancery purchase, San José, Costa Rica","Achat de la chancellerie, San José, Costa Rica",5042574,5042574,5042574
2024/2025,09,"Affaires mondiales","Global Affairs",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Brookfield Global Integrated Solutions CA, Markham, Ontario","Brookfield Global Integrated Solutions CA, Markham, Ontario","Installation of an uninterruptible power supply system and fit-up at Place du Centre building, Gatineau, Quebec","Installation d'un système d'alimentation sans interruption au bâtiment Place du Centre, Gatineau, Québec",6013197,742972,6013197
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","2015168 Ontario Inc, Cornwall, Ontario","2015168 Ontario Inc, Cornwall, Ontario","Acquisition of a detachment, Cornwall, Ontario","Acquisition d'un détachement, Cornwall, Ontario",15423914,695778,6633099
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","92750 Newfoundland and Labrador Inc, Paradise, Newfoundland and Labrador","92750 Newfoundland and Labrador Inc, Paradise, Terre-Neuve-et-Labrador","Fit-up of warehouse, Paradise, Newfoundland and Labrador","Aménagement d'un entrepôt, Paradise, Terre-Neuve-et-Labrador",371310,0,367300
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","AMB TRESEC Inc, Laval, Quebec","AMB TRESEC Inc, Laval, Québec","Construction of modular building, Ottawa, Ontario","Construction de bâtiment modulaire, Ottawa, Ontario",1648814,1633543,1633543
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","ARNO Telecommunication Ltd, Trois-Rivières, Quebec","ARNO Télécommunications Ltée, Trois-Rivières, Québec","Installation of communications shelter, Various locations, Quebec","Installation d'un abri de communication, Lieux variés, Québec",291000,53624,53624
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Aecom Canada Architects Ltd, Edmonton, Alberta","Aecom Canada Architects Ltd, Edmonton, Alberta","Design of detachment, Vermilion, Alberta","Conception du détachement, Vermilion, Alberta",749000,55000,55000
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Ambassador Realty Inc, Ottawa, Ontario","Ambassador Realty Inc, Ottawa, Ontario","Fit-up of warehouse, Ottawa, Ontario","Aménagement de l'entrepôt, Ottawa, Ontario",412556,0,354604
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Arctic Fresh Projects Inc, Igloolik, Nunavut","Arctic Fresh Projects Inc, Igloolik, Nunavut","Betterments to various buildings, Various locations, Nunavut","Améliorations de divers immeubles, Lieux variés, Nunavut",16536233,3112714,3232714
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Atkinson Construction Ltd, Spruce Grove, Alberta","Atkinson Construction Ltd, Spruce Grove, Alberta","Construction of a detachment, Valleyview, Alberta","Construction d'un détachement, Valleyview, Alberta",10538101,73062,10353850
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Atlantic Commercial Properties Inc, Moncton, New Brunswick","Atlantic Commercial Properties Inc, Moncton, Nouveau-Brunswick","Fit-up of warehouse, Moncton, New Brunswick","Aménagement d'un entrepôt, Moncton, Nouveau-Brunswick",583000,337029,337029
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Avondale Construction Limited, Halifax, Nova Scotia","Avondale Construction Limited, Halifax, Nouvelle-Écosse","Construction of new detachment, Pictou County, Nova Scotia","Construction d'un nouveau detachment, Comté de Pictou, Nouvelle-Écosse",19534416,2273799,2273799
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Aéronav Inc, Pointe-Claire, Quebec","Aéronav Inc, Pointe-Claire, Québec","Acquisition of radio shelters, Various locations, Various provinces","Acquisition d'abris radio, Lieux variés, Plusieurs provinces",4100116,1121187,4100116
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","BDCL Management Inc, Delson, Quebec","Gestion BDCL Inc, Delson, Québec","Construction of a building, St-Eusebe, Quebec","Construction d'un bâtiment, St-Eusebe, Québec",318039,198039,318039
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Baja Construction Canada Inc, Canmore, Alberta","Baja Construction Canada Inc, Canmore, Alberta","Construction of generator and expansion of parking lot, Prince Albert, Saskatchewan","Construction d'un générateur et agrandissement du stationnement, Prince Albert, Saskatchewan",730000,0,0
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées Canada S E C, Markham, Ontario","Betterments to various buildings, various locations, various provinces","Améliorations de divers immeubles, lieux variés, plusieurs provinces",2585532,0,2585532
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées Canada S E C, Markham, Ontario","Installation of generator, Windsor, Ontario","Installation d'un générateur, Windsor, Ontario",255771,255771,255771
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées Canada S E C, Markham, Ontario","Replacement of heating, ventilation, and air conditioning system , Ottawa, Ontario","Remplacement des systèmes de chauffage, de ventilation et de climatisation, Ottawa, Ontario",2078875,153821,319586
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées Canada S E C, Markham, Ontario","Replacement of main substation, Ottawa, Ontario","Remplacement de la sous-station principale, Ottawa, Ontario",3078184,0,2384156
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées Canada S E C, Markham, Ontario","Replacement of roof, Newmarket, Ontario","Remplacement de la toiture, Newmarket, Ontario",1515277,0,1515277
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Brookfield Solutions Globales Intégrées Canada S E C, Markham, Ontario","Various betterments, Various locations, Atlantic provinces","Diverses améliorations, Lieux variés, Provinces Atlantique",4461231,4461231,4461231
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","CCR Construction Ltd, Regina, Saskatchewan","CCR Construction Ltd, Regina, Saskatchewan","Construction of new detachment, Kindersley, Saskatchewan","Construction d'un nouveau détachement, Kindersley, Saskatchewan",10465241,601786,10465241
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Chandos Construction Ltd, Edmonton, Alberta","Chandos Construction Ltd, Edmonton, Alberta","Fit-up of office and radio workshop, Kelowna, British Columbia","Aménagement du bureau et d'un atelier, Kelowna, Colombie-Britannique",12144121,5985660,5985660
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","City of Lloydminster, Lloydminster, Alberta","City of Lloydminster, Lloydminster, Alberta","Fit-up of office space, Lloydminster, Saskatchewan","Aménagement d'un bureau, Lloydminster, Sasktchewan",715934,588394,588394
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Con-Pro Industries Canada Ltd, Winnipeg, Manitoba","Con-Pro Industries Canada Ltd, Winnipeg, Manitoba","Construction of new detachment and housing, Deschambault, Manitoba","Construction d'un nouveau détachement et de logements, Deschambault, Manitoba",20216996,11785431,11785431
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Correctional Service of Canada, Ottawa, Ontario","Service correctionnel du Canada, Ottawa, Ontario","Acquisition of cell trailer, Makkovik, Newfoundland","Acquisition d'une remorque cellulaire, Makkovik, Terre-Neuve",535155,420460,420460
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Correctional Service of Canada, Ottawa, Ontario","Service correctionnel du Canada, Ottawa, Ontario","Construction of new community office building, Middle Musquodoboit, Nova Scotia","Construction d'un nouveau bureau communautaire, Middle Musquodoboit, Nouvelle-Écosse",2396734,0,1998801
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","Correctional Service of Canada, Ottawa, Ontario","Service correctionnel du Canada, Ottawa, Ontario","Construction of new employee houses, Little Grand Rapids, Saskatchewan","Construction de nouvelles maisons pour les employés, Little Grand Rapids, Saskatchewan",236422,0,192915
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","EllisDon Corporation, Ottawa, Ontario","EllisDon Corporation, Ottawa, Ontario","Construction of a detachment, Fort St James, British Columbia","Construction d'un détachement, Fort St James, Colombie-Britannique",21403558,183545,21341827
2024/2025,21,"Sécurité publique","Public Safety",030,"Royal Canadian Mounted Police","Gendarmerie royale du Canada","EllisDon Corporation, Ottawa, Ontario","EllisDon Corporation, Ottawa, Ontario","Construction of a detachment, Pangnirtung, Nunavut","Construction d'un détachement, Pangnirtung, Nunavut",18833247,1045086,18833247
