Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2017/2018,04,"Canadian Heritage",145,"Library and Archives of Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Betterments to the Nitrate Film Preservation Facility, Ottawa, Ontario",1272975,54970,54970
2017/2018,04,"Canadian Heritage",145,"Library and Archives of Canada","Brookfield Global Integrated Solutions Canada LP, Markham, Ontario","Betterments to various buildings, various locations, Ontario and Quebec",4740326,4716048,4716048
2017/2018,04,"Canadian Heritage",102,"The National Battlefields Commission","Contracts under $250,000 and cost plus contracts under $25,000 (5 contractors)",,0,69878,0
2017/2018,04,"Canadian Heritage",145,"Library and Archives of Canada","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)",,0,163216,163216
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","9160-8794 Quebec Inc, Lévis, Quebec","Acquisition of otentik tents, Kluane National Park and Reserve, Yukon",273166,267535,267535
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","9160-8794 Quebec Inc, Lévis, Quebec","Acquisition of otentik tents, Kouchibouguac National Park, New Brunswick",277998,277998,277998
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","9160-8794 Quebec Inc, Lévis, Quebec","Acquisition of otentik tents, Leamington, Ontario",667323,0,0
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Vince Ferro Construction Ltd, Windsor, Ontario","Addition to the service building at Fort Malden National Historic Site, Amherstburg, Ontario",536002,536002,536002
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Louis W Bray Construction Limited, St Andrews West, Ontario","Brighton Road Swing Bridge Replacement, Brighton, Ontario",13313758,10424839,10424839
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Speers Construction Inc, Revelstoke, British Columbia","Clearing and brushing for avalanche mitigation along Trans-Canada Highway, Glacier National Park, British Columbia",255045,255045,255045
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Strilkiwski Contracting Ltd, Dauphin, Manitoba","Clearing and replacement of culverts along Highway 10, Riding Mountain National Park, Manitoba",731680,533098,533098
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Concrete conservation work of Fort Rodd Hill, Victoria, British Columbia",9470460,2958188,6478001
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Concrete repairs work on Locks 40-42, Various locations, Ontario",13016219,7990683,9149720
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Construction of a maintenance garage, Fundy National Park, New Brunswick",594558,16461,594558
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Bay Construction Management Inc, Moncton, New Brunswick","Construction of a new multi-purpose building, Fundy National Park, New Brunswick",1034823,922157,922157
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","LCL Construction Ltd, Carman, Manitoba","Construction of a new operations building within the maintenance compound, Riding Mountain National Park, Manitoba",1962864,1962864,1962864
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Bay Construction Management Inc, Moncton, New Brunswick","Construction of a new visitor reception centre, Fundy National Park, New Brunswick",1018337,994517,994517
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Maxim 2000 Inc, Saint John, New Brunswick","Construction of a salt water pool, Alma, New Brunswick",1789738,564149,1789738
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Construction of a salt water pool, Alma, New Brunswick",261334,58519,261334
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Allen Hastings Ltd, Miller Lake, Ontario","Construction of a staff accommodation building, Tobermory, Ontario",1026201,294468,1026201
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Form: Media, Dartmouth, Nova Scotia","Construction of a storyboard for the Batoche National Historic Site, Rosthern, Saskatchewan",582500,24000,577000
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Maritech Construction Inc, Amherst, Nova Scotia","Construction of a viewpark area, Amherst, Nova Scotia",395470,294448,395470
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Emil Anderson Construction Inc, Kelowna, British Columbia","Construction of access roads to snow sheds, Glacier National Park, British Columbia",3063312,50613,50613
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Bel Stone Fencing Ltd, Rockglen, Saskatchewan","Construction of boundary fence, Grasslands National Park, Saskatchewan",589137,40000,589137
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Marine Contractors Inc, Corner Brook, Newfoundland and Labrador","Construction of climbing lane on Highway 430 in Southeast Hills, Gros Morne National Park, Newfoundland and Labrador",2603682,2603682,2603682
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","J-1 Contracting Ltd, Clarenville, Newfoundland and Labrador","Construction of climbing lanes on the Trans-Canada Highway, Terra Nova National Park, Newfoundland and Labrador",26912959,13342828,26513802
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Construction of climbing lanes on the Trans-Canada Highway, Terra Nova National Park, Newfoundland and Labrador",2096582,405781,2045739
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Construction of new washrooms and a kiosk, Pacific Rim National Park Reserve, British Columbia",7590485,2813621,4159106
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Zutphen Contractors, Southwest Mabou, Nova Scotia","Construction of seawalls, Louisbourg, Nova Scotia",1993393,1919466,1919466
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","RNF Ventures Ltd, Prince Albert, Saskatchewan","Construction of Spruce Ridge Campground washrooms, Prince Albert National Park, Saskatchewan",533212,1227,533212
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Nitro Construction Ltd, Lethbridge, Alberta","Construction of staff housing, Waterton Lakes National Park, Alberta",2739359,1148766,2684990
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Traugott Building Contractors Inc, Cambridge, Ontario","Construction of staff housing, Waterton Lakes National Park, Alberta",4014621,2992497,2992497
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Construction of the Icefields Trail, Jasper National Park, Alberta",12121135,1347000,4357092
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","WSP Canada Inc, Montréal, Quebec","Construction of trail bridges and structures, Pukaskwa National Park, Ontario",299796,53827,273586
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Bighorn Construction Ltd, Medicine Hat, Alberta","Construction of two new multi-unit staff houses, Jasper National Park, Alberta",2982321,1164300,1164300
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Bighorn Construction Ltd, Medicine Hat, Alberta","Construction of washroom facility in welcome area, Elk Island National Park, Alberta",511629,511629,511629
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Stranville Projects Ltd, Lethbridge, Alberta","Construction of washrooms, Waterton Lakes National Park, Alberta",700904,199664,700904
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Nova Construction Co Ltd, Antigonish, Nova Scotia","Culvert rehabilitation and slope stabilization, Chéticamp, Nova Scotia",1054165,485598,485598
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Culvert rehabilitation and slope stabilization, Chéticamp, Nova Scotia",2139567,152101,332176
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Design of earth dams, Peterborough, Ontario",9621589,1429170,1848686
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Bergevin Electrical Contracting Ltd, Nelson, British Columbia","Electrical and lighting work on snow sheds of the Trans-Canada Highway, Glacier National Park, British Columbia",1564755,0,1564755
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Martech Electrical Systems Ltd, Castlegar, British Columbia","Electrical and lighting work on snow sheds of the Trans-Canada Highway, Glacier National Park, British Columbia",2154238,1862628,1862628
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Lan-Ro Equipments Inc, Saint-Pascal, Quebec","Electrification and water supply of a campground, Forillon National Park, Quebec",469140,66500,469140
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Phoenix Construction Inc, Red Deer, Alberta","Exterior rehabilitaion of the pool buildings, Jasper National Park, Alberta",321784,321784,321784
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Brown Bros Excavating Ltd, Annapolis Royal, Nova Scotia","Fort Anne embankment and wall stabilization, Annapolis Royal, Nova Scotia",547478,199398,547478
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Dexter Construction Company Ltd, Bedford, Nova Scotia","Fundy national park trail revitalization, Alma, New Brunswick",2165601,790178,1270776
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Kubik Inc, Mississauga, Ontario","Halifax Citadel heritage experience exhibit, Halifax, Nova Scotia",3667500,0,1493800
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Dawson Construction Ltd, Kamloops, British Columbia","Highway 16 paving and culvert replacement, Jasper National Park, Alberta",4164056,3807136,4164056
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Improvements to the Talbot River earth dams, Kawartha Lakes, Ontario",15000000,3570093,4058624
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Elmara Construction Co Ltd, Oldcastle, Ontario","Infrastructure upgrades of Tip area, Point Pelee National Park, Ontario",1182000,0,0
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Seagate Construction Inc, Dartmouth, Nova Scotia","Installation of a heat pump at the Cavalier Building of the Halifax Citadel, Halifax, Nova Scotia",320685,0,0
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","GoliathTech, Alliston, Ontario","Installation of a raised boardwalk at Singing Sands in the Bruce Peninsula, Tobermory, Ontario",597587,597587,597587
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","BAT Construction Ltd, Kamloops, British Columbia","Installation of avalanche snow nets, Glacier National Park, British Columbia",9924805,1954083,9924805
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Groupe Promec Inc, Rouyn-Noranda, Quebec","Installation of machinery protective equipment, Carillon Canal, Quebec",612748,218706,218706
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Wyssen Avalanche Control Inc, Revelstoke, British Columbia","Installation of remote avalanche control systems, Glacier National Park, British Columbia",1597667,1576619,1576619
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Griffiths Professional Corporation, Toronto, Ontario","Land acquisition for Rouge National Urban Park, Toronto, Ontario",1500000,1493189,1493189
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Briquetal Ltée, Québec, Quebec","Masonry repairs, Québec, Quebec",6795249,0,6795249
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Cruickshank Construction Ltd, Kingston, Ontario","Masonry work at Jones Falls, Rideau Lakes, Ontario",838881,268784,838881
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Briquetal Ltée, Québec, Quebec","Masonry work beside St-Jean gate, Québec, Quebec",6296554,3205468,3205468
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Maçonnerie Dynamique Ltée, Québec, Quebec","Masonry work on Dauphine Redoubt, Québec, Quebec",2560330,1152959,1152959
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Masonry work on Dauphine Redoubt, Québec, Quebec",718926,105950,218660
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Groupe Atwill-Morin Inc, Montréal, Quebec","Masonry work on Edmonds Lock Dam and Weir, Smiths Falls, Ontario",1485929,274226,274226
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","The FiA Group, Gatineau, Quebec","Masonry work on Edmonds Lock, Smiths Falls, Ontario",2432075,628301,2408694
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Masonry work on Jones Falls Lock 39-42, Rideau Lakes, Ontario",16810274,720903,880114
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Masonry work on Montmorency Park walls, Québec, Quebec",7417546,415848,417990
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Masonry work on Narrows Lock, Rideau Lakes, Ontario",1057310,286630,972763
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Cutting Edge Landscaping Inc, Pouch Cove, Newfoundland and Labrador","Most Easterly Point site improvements, Cape Spear, Newfoundland and Labrador",614954,614954,614954
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Traytown Builders Ltd, Glovertown, Newfoundland and Labrador","Newman Sound playground redevelopment, Terra Nova National Park, Newfoundland and Labrador",259000,122569,122569
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Park entrance upgrades, Fundy National Park, New Brunswick",527218,158422,375002
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Public Works and Government Services, Gatineau, Quebec","Partial restoration of the Federal Wharf, Chambly Canal, Quebec",9487666,273809,782772
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","First Peoples Infra Inc, Toronto, Ontario","Paving of Highway 10, Riding Mountain National Park, Manitoba",7149010,4370254,6929374
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","First Peoples Infra Inc, Toronto, Ontario","Paving of Highway 10, Riding Mountain National Park, Manitoba",7405898,6946203,6946203
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Interoute Construction Ltd, Crescent Valley, British Columbia","Paving of the Trans-Canada Highway, Glacier National Park, British Columbia",8733235,8349945,8349945
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Okanagan Aggregates Ltd, Armstrong, British Columbia","Paving rehabilitation and safety improvements of Highway 93S, Kootenay National Park, British Columbia",3901609,3901609,3901609
2017/2018,06,"Environment and Climate Change",124,"Parks Canada Agency","Dawson Construction Ltd, Kamloops, British Columbia","Paving rehabilitation of Highway 93N, Jasper National Park, Alberta",9349089,2337140,2337140
