Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Dept-nbr_No-min,Dept-name_Nom-min_eng,Contractor-details_Details-entrepr_eng,Proj-desc_eng,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Contracts under $250,000 and cost plus contracts under $25,000 (153 contractors)",Total,0,2325822,0
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Corporation Ukrzhylbud, Kiev, Ukraine","Fit-up of chancery, Kiev, Ukraine",3730332,112070,3647253
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","CPM Projects, Pretoria, South Africa","Fit-up of chancery, Abuja, Nigeria",507779,394076,394076
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Durabond, Toronto, Ontario","Official residence electrical upgrade, Havana, Cuba",354888,0,245858
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Edwin Patricio Mora Guzman, Quito, Ecuador","Expansion of chancery, Quito, Ecuador",684150,510766,602983
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Groupe Villemain Ile de France, Tremblay-en France, France","Renovation of the official residence, Paris, France",545951,523828,523828
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Interamericas World Center S A, Guatemala City, Guatemala","Purchase of chancery, Guatemala City, Guatemala",3422580,0,3422580
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","ISG Olson CISC, Moscow, Russia","Chancery upgrade, Moscow, Russia",551401,0,0
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Kent Construction Limited, Christ Church, Barbados","Chancery upgrade, Bridgetown, Barbados",3444284,1984089,3263901
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Louis EL Hachem Engineering and Contracting SARL, Sarba, Lebanon","Chancery retrofit, Beirut, Lebanon",7500819,2094446,6501653
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","LP Holding Co Ltd, Yangon, Myanmar","Fit-up of office space, Yangon, Myanmar",605312,185508,605312
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","M and W Tech Projects, Stuttgart, Germany","Construction of perimeter wall around compound site, Kabul, Afganistan",3557728,335973,3557728
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Mandhir Construction, Nairobi, Kenya","Chancery upgrade, Nairobi, Kenya",3098760,3044120,3044120
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Marcomm Inc, Ottawa, Ontario","Cable supply installation and testing, London, United Kingdom",2095428,1885885,1885885
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Modern Interiors, Mohandeseen, Egypt","Fit-up of chancery, Cairo, Egypt",1139302,1139302,1139302
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Nahman Construction, Lagos, Nigeria","Construction of new chancery, Abuja, Nigeria",10387021,2916982,8860105
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Nile City Investments, Cairo, Egypt","Fit-up of chancery space, Cairo, Egypt",2468601,1220589,1220589
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Nile City Investments, Cairo, Egypt","Purchase of chancery, Cairo, Egypt",9870706,0,9680706
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Overbury, London, United Kingdom","Canada House chancery renovation, London, United Kingdom",80457240,80340822,80447240
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Parkeray Limited, London, United Kingdom","Fit-up of office space, London, United Kingdom",6486558,0,5208227
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Parkeray Limited, London, United Kingdom","Official residence design and construction, London, United Kingdom",3677839,3490190,3490190
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Pat Davie Ltd, Kowloon, China","Design build fit-up new office space for relocation of central operation of Consulate General, Hong Kong, China",2537147,211591,2500044
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Pat Davie Ltd, Kowloon, China","Design build fit-up new office space for relocation of regular operations of Consulate General, Hong Kong, China",5566053,920620,5566009
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Pat Davie Ltd, Kowloon, China","Design build fit-up new office space for Quebec Immigration Office, Hong Kong, China",3044277,680137,2935547
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Perfect Company Contractors, Cairo, Egypt","Chancery upgrade, Cairo, Egypt",976213,145002,921305
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Specialty fit-up of office space, Nairobi, Kenya",308000,201728,201728
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","PMB Electrical, Kars, Ontario","Specialty fit-up of office space, Rabat, Morocco",322430,312837,312837
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","PMCA Interior Architectural Construction Consultancy Shanghai Ltd, Shanghai, China","Design construction relocation of consulate general of Canada, Guangzhou, China",1754953,0,0
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Rio Douro Construction A, Harare, Zimbabwe","Upgrade chancery guardhouse screening area and sally ports, Harare, Zimbabwe",756526,0,661891
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Samra Enterprises, Islamabad, Pakistan","Seismic upgrade chancery and staff quarters, Islamabad, Pakistan",2822503,275293,2820023
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Saraya Albinaa Contracting, Riyadh, Saudi Arabia","Chancery modernization expansion fit-up landscaping and swing space, Riyadh, Saudi Arabia",10837185,4208000,4208000
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Sarl Groupe Sept Entreprise, Algiers, Algeria","Construction of new guard house sally port and entrance chancery, Algiers, Algeria",1901542,1532811,1900000
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","SRL Construction, Gatineau, Quebec","Design build fit-up of chancery, Yaoundé, Cameroon",2725173,1416752,2715893
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Terrain Services Company ss Ltd, Juba, Sudan","Design construct office space, Juba, South Sudan",583394,583394,583394
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Vita Construction Limited, Lagos, Nigeria","Chancery upgrade, Lagos, Nigeria",685011,349618,384971
2014/2015,09,"Foreign Affairs, Trade and Development",005,"Foreign Affairs, Trade and Development","Wajih Contracting, Amman, Jordan","Construction of new chancery, Amman, Jordan",10075513,18169,9611074
2014/2015,07,Finance,006,Finance,"Public Works and Government Services Canada, Gatineau, Quebec","Leasehold Improvements - 90 Elgin, Ottawa, Ontario",2100634,2099894,2099894
2014/2015,07,Finance,006,Finance,"Shared Services Canada, Gatineau, Quebec","Leasehold improvements - 90 Elgin, Ottawa, Ontario",2654955,1397852,2654955
2014/2015,06,Environment,007,Environment,"Carleton University, Ottawa, Ontario","Repayment of capital lease obligation on leased research building, Ottawa, Ontario",32500000,637811,7064633
2014/2015,06,Environment,007,Environment,"Contracts under $250,000 and cost plus contracts under $25,000 (21 contractors)",Total,0,604923,0
2014/2015,07,Finance,011,"Office of the Superintendent of Financial Institutions","Bentall Kennedy, Toronto, Ontario**","Leasehold improvements - FAC013 Toronto 15th Phase 2, Toronto, Ontario",1533000,52071,52071
2014/2015,07,Finance,011,"Office of the Superintendent of Financial Institutions","Contracts under $250,000 and cost plus contracts of less than $25,000 (5 contractors)",Total,417119,413901,413901
2014/2015,19,"Privy Council Office",015,"Office of the Chief Electoral Officer","Contracts under $250,000 and cost plus contracts under $25,000 (5 contractors)",Total,0,61622,0
2014/2015,19,"Privy Council Office",015,"Office of the Chief Electoral Officer","Public Works and Government Services Canada, Gatineau, Québec","Leasehold Improvement - 30 Victoria, Gatineau, Québec",12715857,249759,10603064
2014/2015,16,"National Defence",018,"National Defence","Électrique M J L Inc, Sainte-Marie-Madeleine, Quebec","Replace elements of the electrical distribution system of several buildings and of the primary network, Saint-Jean-sur-Richelieu, Quebec",318640,24584,318640
2014/2015,16,"National Defence",018,"National Defence","Équipements Claude Pedneault Inc, Saguenay, Quebec","Renovate fuel farm loading/unloading area, Saguenay, Quebec",1205861,28388,1205861
2014/2015,16,"National Defence",018,"National Defence","A & J Hanna Construction Ltd, Lincoln, New Brunswick","Recap six residential units, Gagetown, New Brunswick",629340,629340,629340
2014/2015,16,"National Defence",018,"National Defence","A Fresh Look Painting and Decorating, Winnipeg, Manitoba","Kitchen Renovations, Winnipeg, Manitoba",516000,160020,160020
2014/2015,16,"National Defence",018,"National Defence","A Plante et Freres Inc, Saguenay, Quebec","Recap roofs B216, Saguenay, Quebec",363424,363424,363424
2014/2015,16,"National Defence",018,"National Defence","Access Contracting Limited, Waterville, Nova Scotia","Greenwood - Recap - 3 residential housing units, Greenwood, Nova Scotia",256629,251629,251629
2014/2015,16,"National Defence",018,"National Defence","Access Contracting Limited, Waterville, Nova Scotia","Upgrade mods at Neptune House B164, Greenwood, Nova Scotia",575575,528540,528540
2014/2015,16,"National Defence",018,"National Defence","Al Bruch's Carpentry Ltd, Victoria, British Columbia","Kitchen Renovations for residential housing units, Victoria, British Columbia",328193,328193,328193
2014/2015,16,"National Defence",018,"National Defence","Al Bruch's Carpentry Ltd, Victoria, British Columbia","Standing offer agreement - General construction, Esquimalt, British Columbia",3596674,0,3596674
2014/2015,16,"National Defence",018,"National Defence","Albiani Construction Ltd, Winnipeg, Manitoba","Building 63 - Air Conditioning PTAC Systems, Winnipeg, Manitoba",617158,563478,607358
2014/2015,16,"National Defence",018,"National Defence","Alex Ouellet Inc, Québec, Quebec","Standing offer agreement - Electrical Contractor - Valcartier, Courcelette, Quebec",163257,23436,163257
2014/2015,16,"National Defence",018,"National Defence","Allen Mechanical Inc, Kingston, Ontario","R32 Renos to kitchen servery/ back-up power/ back-up water Yeo Hall, Kingston, Ontario",722008,713208,713208
2014/2015,16,"National Defence",018,"National Defence","Allen Mechanical Inc, Kingston, Ontario","Yeo Hall air conditioner retrofit for Kitchen/Dental Leakage Problem, Kingston, Ontario",399710,362914,362914
2014/2015,16,"National Defence",018,"National Defence","Alliance Energy Limited, Regina, Saskatchewan","Hangar 6 & 7 Lighting Upgrade, Moose Jaw, Saskatchewan",285900,204952,204952
2014/2015,16,"National Defence",018,"National Defence","Almiq Contracting Ltd, Iqualuit, Nunavut","Nanisivik Construction and Consulting Services, Nanisivik, Nunavut",55857000,9994443,9994443
2014/2015,16,"National Defence",018,"National Defence","Amec Construction Inc, Saguenay, Quebec","Reconfigure Building 117, Saguenay, Quebec",263083,41406,263083
2014/2015,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Batus General Construction, Suffield, Alberta",348423,0,348423
2014/2015,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Combustion Laboratory, Suffield, Alberta",5148081,2182877,5148081
2014/2015,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Repair Site and Roof Drainage Vimy Armoury, Lethbridge, Alberta",666661,4500,666661
2014/2015,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Standing offer agreement - General construction - DRDC, Suffield, Alberta",442564,0,442564
2014/2015,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Standing offer agreement - General construction, Suffield, Alberta",202437,0,202437
2014/2015,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Standing offer agreement - General construction, Suffield, Alberta",315462,0,315462
2014/2015,16,"National Defence",018,"National Defence","Amron Construction, Redcliff, Alberta","Standing offer agreement - General Construction - Batus, Suffield, Alberta",289285,0,289285
2014/2015,16,"National Defence",018,"National Defence","Anglin Group Ltd, Odessa, Ontario","Construction Modifications Health Services Centre, Kingston, Ontario",286130,160511,160511
2014/2015,16,"National Defence",018,"National Defence","Aquicon Construction Company Ltd, Brampton, Ontario","All Ranks Dining Facility # 2 Vickers-North Kitchen, Borden, Ontario",17767219,11341233,16043375
2014/2015,16,"National Defence",018,"National Defence","Ardec Construction Inc, Laval, Quebec","Install emergency exits Cathcart Armoury, Montréal, Quebec",632304,177832,632304
2014/2015,16,"National Defence",018,"National Defence","Argue Construction Ltd, Ottawa, Ontario","Upgrade Heavy Vehicle Maintenance Pit at building BB-102, Petawawa, Ontario",563801,563801,563801
2014/2015,16,"National Defence",018,"National Defence","Arnil Construction Ltd, Moose Jaw, Saskatchewan","Recap 4 Type K KK residential housing units, Moose Jaw, Saskatchewan",863258,846458,846458
2014/2015,16,"National Defence",018,"National Defence","Atlantic Industrial Services, Dartmouth, Nova Scotia","D2/D5 retaining wall Replacement, Halifax, Nova Scotia",254097,166610,166610
2014/2015,16,"National Defence",018,"National Defence","Atlantic Roofers, Fredericton, New Brunswick","K10 - Upgrade roof, Gagetown, New Brunswick",370853,370853,370853
2014/2015,16,"National Defence",018,"National Defence","Atlantica Mechanical Contractors Inc, Dartmouth, Nova Scotia","D201 Upgrade chillers 1 and 4, Halifax, Nova Scotia",453076,431402,431402
2014/2015,16,"National Defence",018,"National Defence","Aveiro Constructors Ltd, Dorchester, Ontario","Beaver Hall Renovations Wolseley Barracks, London, Ontario",735009,722478,722478
2014/2015,16,"National Defence",018,"National Defence","Aztec Builders Ltd, Oakbank, Manitoba","Building 64 - Install Air Conditioner, Winnipeg, Manitoba",686378,666689,676689
2014/2015,16,"National Defence",018,"National Defence","AA Sturgeon Construction Ltd, Winnipeg, Manitoba","McGregor Armoury - Repair Weeping Tile Waterproofing and Site Drainage, Winnipeg, Manitoba",572378,11868,572378
2014/2015,16,"National Defence",018,"National Defence","AGC and Associates Inc, Quinte West, Ontario","Expand JRCC Alternate Site, Quinte West, Ontario",582175,21952,582175
2014/2015,16,"National Defence",018,"National Defence","AGC and Associates Inc, Quinte West, Ontario","R23 - Replace Windows, Kingston, Ontario",548142,0,548142
2014/2015,16,"National Defence",018,"National Defence","ARMAG Corporation, Bardstown, Kentucky","Purchase/Install Portable Weapons Lockup, Gagetown, New Brunswick",336258,336258,336258
2014/2015,16,"National Defence",018,"National Defence","ASCO Construction Ltd, Ottawa, Ontario","Training accommodation facility, Petawawa, Ontario",12029425,6686,12029425
2014/2015,16,"National Defence",018,"National Defence","AWD Contractors, Perth, Ontario","Reskin QRA Shelters 1 2 and 3, Quinte West, Ontario",304439,304439,304439
2014/2015,16,"National Defence",018,"National Defence","Babcock Canada, Ottawa, Ontario **","Leasehold Improvement, Victoria, British Columbia",7978895,7978895,7978895
2014/2015,16,"National Defence",018,"National Defence","Beland & Lapointe Inc, Saint-Redempteur, Quebec","Geotechnical study/ topographical and environmental - Expansion of VC-362, Valcartier, Quebec",2027479,2024479,2024479
2014/2015,16,"National Defence",018,"National Defence","Bell Multi Construction Inc, Halifax, Nova Scotia","Recap 3 - 744 Style residential housing units CFHA Recap, Halifax, Nova Scotia",452849,423942,423942
2014/2015,16,"National Defence",018,"National Defence","Ben Wiebe Construction Ltd, Brandon, Manitoba","Construct Artillery Observation Bunker, Shilo, Manitoba",459844,454819,454819
2014/2015,16,"National Defence",018,"National Defence","Ben Wiebe Construction Ltd, Brandon, Manitoba","RCA Museum N118 Refurbish Exterior, Shilo, Manitoba",614889,37702,614889
2014/2015,16,"National Defence",018,"National Defence","Benchmark Construction Management Corp, Calgary, Alberta","Renovate Slave Tower, Cold Lake, Alberta",305200,7400,7400
2014/2015,16,"National Defence",018,"National Defence","Bergevin Electrical Contracting Ltd, Nelson, British Columbia","Replace Electrical Systems Beatty Street Armoury, Vancouver, British Columbia",283426,0,150333
2014/2015,16,"National Defence",018,"National Defence","Bernard Rochefort Ltd, Astorville, Ontario","Replace Boilers building 14, North Bay, Ontario",555281,555281,555281
2014/2015,16,"National Defence",018,"National Defence","Bervin Construction Ltd, Abbotsford, British Columbia","Building 28 - Replace Generator - Electrical Code Violations, Abbotsford, British Columbia",268868,47948,268868
2014/2015,16,"National Defence",018,"National Defence","Bhullar's Construction Ltd, Edmonton, Alberta","Upgrade Earth Cover and Approaches, Edmonton, Alberta",391350,391350,391350
2014/2015,16,"National Defence",018,"National Defence","Bighorn Construction Ltd, Medicine Hat, Alberta","B414 Fire Hall Retrofit, Wainwright, Alberta",502795,317577,317577
2014/2015,16,"National Defence",018,"National Defence","Bighorn Construction Ltd, Medicine Hat, Alberta","Construct MDF, Cold Lake, Alberta",1012203,15000,1012203
2014/2015,16,"National Defence",018,"National Defence","Bird Construction Group, Bedford, Nova Scotia","Renovate Partial 2nd Floor, Halifax, Nova Scotia",305667,285098,285098
2014/2015,16,"National Defence",018,"National Defence","Bird Construction Inc, Mississauga, Ontario","Building 21 Upgrade Men's Locker Room, Winnipeg, Manitoba",702035,231910,702035
2014/2015,16,"National Defence",018,"National Defence","Bird Design-Build Construction Inc, Bedford, Nova Scotia","Design and Construction Pleasantville Consolidation Project, St John's, Newfoundland and Labrador",125117367,1067988,125034608
2014/2015,16,"National Defence",018,"National Defence","Black & McDonald Ltd, Dartmouth, Nova Scotia","Upgrade Burner System on Boilers 1 and 2, Halifax, Nova Scotia",628200,628200,628200
2014/2015,16,"National Defence",018,"National Defence","Black & McDonald Ltd, Dartmouth, Nova Scotia","Upgrade Lights and Helicopter Signage, Halifax, Nova Scotia",577600,100000,100000
2014/2015,16,"National Defence",018,"National Defence","Black & McDonald Ltd, Edmonton, Alberta","Replace HID Fixtures With LED Fixtures, Edmonton, Alberta",286330,149139,149139
2014/2015,16,"National Defence",018,"National Defence","Black & McDonald Ltd, Toronto, Ontario","Building 47 Construct HVAC system and install Exhaust Systems for Building 47 and Building 73, Winnipeg, Manitoba",259722,87067,259722
2014/2015,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Install External Hookups for Back Up Boilers (S11), Halifax, Nova Scotia",408156,408156,408156
2014/2015,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","New Construction of Two Semi-Detached Modular Units, Halifax, Nova Scotia",608000,88286,608000
2014/2015,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Replace Electrical Distribution & Emergency Shore Power CFAD Bedford, Halifax, Nova Scotia",1383935,792687,792687
2014/2015,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Replace Garages CFHA, Halifax, Nova Scotia",460912,460912,460912
2014/2015,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Shearwater WTIS Upgrade - MDF, Halifax, Nova Scotia",2162241,77147,2162241
2014/2015,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","S17 - Construct Distributed Missions Operations Centre (DMOC), Halifax, Nova Scotia",376962,0,376962
2014/2015,16,"National Defence",018,"National Defence","Blunden Construction Ltd, Halifax, Nova Scotia","Upgrade ACS Ventilation System Hangar Z, Shearwater, Nova Scotia",306703,195003,306703
2014/2015,16,"National Defence",018,"National Defence","Bondfield Construction Company Ltd, Vaughan, Ontario","Construction of Hangar 6, Quinte West, Ontario",76632356,25306099,64237436
2014/2015,16,"National Defence",018,"National Defence","Bonnechere Excavating Inc, Renfrew, Ontario","Construction of phases 1b & 2 in support of the MHLH facility, Petawawa, Ontario",10970708,3412365,3412365
2014/2015,16,"National Defence",018,"National Defence","Bononia Construction Inc, Maple, Ontario","Minor Recap 744 Style residential housing units, Quinte West, Ontario",686797,20605,686797
2014/2015,16,"National Defence",018,"National Defence","Brunnell Construction, Victoria, British Columbia","Construct Outdoor Sports Facility - Improve Drainage and Provide Lighting, Victoria, British Columbia",602805,151936,602805
2014/2015,16,"National Defence",018,"National Defence","Buddy Haegele Enterprises Ltd, Belleville, Ontario","Construct Mezzanines for B479, Quinte West, Ontario",272000,116402,272000
2014/2015,16,"National Defence",018,"National Defence","Buddy Haegele Enterprises Ltd, Belleville, Ontario","Renovations to Senate Chamber, Kingston, Ontario",423862,6598,423862
2014/2015,16,"National Defence",018,"National Defence","Budget Environmental Disposal Inc, Hamilton, Ontario","Deconstruct Building 113, Quinte West, Ontario",351595,2825,351595
2014/2015,16,"National Defence",018,"National Defence","Cabert Enterprises Ltd, Bonnyville, Alberta","Minor Recap 2 X B Style residential housing units, Cold Lake, Alberta",722030,673795,673795
2014/2015,16,"National Defence",018,"National Defence","Cabert Enterprises Ltd, Bonnyville, Alberta","Minor Recap 2 X H Style residential housing units, Cold Lake, Alberta",555121,30219,555121
2014/2015,16,"National Defence",018,"National Defence","Can-Sky Roofing and Sheet Metal Inc, Toronto, Ontario","Lower Roof Replacement - Fort York Armoury, Toronto, Ontario",510406,15000,510406
2014/2015,16,"National Defence",018,"National Defence","Canada Life Assurance Company, Winnipeg, Manitoba","Edmonton Armoury - North, Edmonton, Alberta",16881481,916295,9054009
