Fscl-yr_Ex-fin,Min-code,Min-portfolio_Portefeuille-min_eng,Min-portfolio_Portefeuille-min_fra,Dept-nbr_No-min,Dept-name_Nom-min_eng,Dept-name_Nom-min_fra,Contractor-details_Details-entrepr_eng,Contractor-details_Details-entrepr_fra,Proj-desc_eng,Proj-desc_fra,Contract-amt_Mnt-contrat,Xpnd-current-yr_Dep-ex-courant,Xpnd-to-date_Dep-a-jour
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Construction Mafranc Inc, Lévis, Quebec","Construction Mafranc Inc, Lévis, Québec","Building 1 elevator rehabilitation, Québec, Quebec","Bâtiment 1 réfection d'ascenseurs, Québec, Québec",596000,8300,8300
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Contracts under $250,000 and cost plus contracts under $25,000 (116 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (116 entrepreneurs)",Total,Total,0,3290562,0
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","CORCAN Canada, Kingston, Ontario","CORCAN Canada, Kingston, Ontario","Building 14 roof replacement, London, Ontario","Bâtiment 14 remplacement de la toiture, London, Ontario",1519438,966271,966271
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","DMT Mechanical Ltd, Lethbridge, Alberta","DMT Mechanical Ltd, Lethbridge, Alberta","Building 102 boiler replacement, Lethbridge, Alberta","Bâtiment 102 remplacement de chaudière, Lethbridge, Alberta",332307,8700,8700
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Everest Construction Management Ltd, Calgary, Alberta","Everest Construction Management Ltd, Calgary, Alberta","Feed mill building upgrades, Lethbridge, Alberta","Améliorations du bâtiment d'aliments pour animaux, Lethbridge, Alberta",645426,326641,645426
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","J&S Sheet Metal, Charlottetown, Prince Edward Island","J&S Sheet Metal, Charlottetown, Île-du-Prince-Édouard","Dust collection upgrade, Harrington, Prince Edward Island","Mise à jour des collecteurs de poussières, Harrington, Île-du-Prince-Édouard",334031,334031,334031
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Jumec Construction, Ottawa, Ontario","Jumec Construction, Ottawa, Ontario","Renovations to convert use of building 39 for Indigenous ceremonies, Ottawa, Ontario","Rénovations pour convertir l'utilisation du bâtiment 39 pour les cérémonies autochtones, Ottawa, Ontario",1364628,1050917,1364628
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","JMJ Holdings Ltd, St John's, Newfoundland and Labrador","JMJ Holdings Ltd, St John's, Terre-Neuve-et-Labrador","St John's research and development centre expansion and retrofit, St John's, Newfoundland and Labrador","Expansion et modernisation du centre de recherche et développement de St John's, St John's, Terre-Neuve-et-Labrador",23466532,3040510,3040510
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","K&L Construction Ontario Ltd, London, Ontario","K&L Construction Ontario Ltd, London, Ontario","Cross connection project, London, Ontario","Projet de connexion croisée, London, Ontario",1030368,50417,1030368
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","KIM Constructors Ltd, Saskatoon, Saskatchewan","KIM Constructors Ltd, Saskatoon, Saskatchewan","Building 1 chiller replacement, Saskatoon, Saskatchewan","Bâtiment 1 replacement du refroidisseur, Saskatoon, Saskatchewan",2192043,1155398,1155398
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Laplante Builders Ltd, Ottawa, Ontario","Laplante Builders Ltd, Ottawa, Ontario","Building 143 central experimental farm exterior wall insulation and window upgrades, Ottawa, Ontario","Modernisation des fenêtres et de l'isolant d'extérieur de bâtiment 143 ferme expérimentale centrale, Ottawa, Ontario.",278565,23995,278565
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","LAT49 Architecture Inc, St John's, Newfoundland and Labrador","LAT49 Architecture Inc, St John's, Terre-Neuve-et-Labrador","St John's research and development centre expansion and retrofit, St John's, Newfoundland and Labrador","Expansion et modernisation du centre de recherche et développement de St John's, St John's, Terre-Neuve-et-Labrador",1670491,129063,1442752
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Northbrook Construction Ltd, St John's, Newfoundland and Labrador","Northbrook Construction Ltd, St John's, Terre-Neuve-et-Labrador","Outbuildings renovations, St John's, Newfoundland and Labrador","Rénovations de dépendances, St John's, Terre-Neuve-et-Labrador",674643,555068,670919
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Rideau Elevator Services Inc, Embrun, Ontario","Rideau Elevator Services Inc, Embrun, Ontario","Building 20 modernization of south freight elevator, Ottawa, Ontario","Modernisation du monte-charge sud de bâtiment 20, Ottawa, Ontario",273500,233150,273500
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Stantec, Lethbridge, Alberta","Stantec, Lethbridge, Alberta","Architectural and engineering services for irrigation upgrade, Vauxhall, Alberta","Services d'architecture et d'ingénierie pour la mise à niveau de l'irrigation, Vauxhall, Alberta",267343,0,267343
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Stantec, London, Ontario","Stantec, London, Ontario","Architectural and engineering services for exhaust fume manifold project, London, Ontario","Services d'architecture et d'ingénierie pour le projet de collecteur d'échappement, London, Ontario",297710,3828,297710
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Stantec, Longueuil, Quebec","Stantec, Longueuil, Québec","Architectural and engineering services for replacement of controls, Saint-Hyacinthe, Quebec","Services d'architecture et d'ingénierie pour le remplacement des contrôles, Saint-Hyacinthe, Québec",460289,94705,460289
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Suer & Pollon Mechanical, Saskatoon, Saskatchewan","Suer & Pollon Mechanical, Saskatoon, Saskatchewan","Building 97 dust collector replacement, Swift Current, Saskatchewan","Bâtiment 97 remplacement du collecteur de poussière, Swift Current, Saskatchewan",992000,936846,936846
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Supply Point Inc, Mississauga, Ontario","Supply Point Inc, Mississauga, Ontario","Uninterruptible power supply system, Guelph, Ontario","Système d'alimentation électrique sans coupure, Guelph, Ontario",277199,277199,277199
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Tikal Construction Ltd, Abbotsford, British Columbia","Tikal Construction Ltd, Abbotsford, Colombie-Britannique","Equipment storage upgrade, Abbotsford, British Columbia","Mise à niveau de l'entreposage d'équipement, Abbotsford, Colombie-Britannique",823566,598542,598542
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Vince Ferro Construction Ltd, Windsor, Ontario","Vince Ferro Construction Ltd, Windsor, Ontario","Lab modernization, Harrow, Ontario","Modernisation des laboratoires, Harrow, Ontario",302068,9000,302068
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","Vollmer Inc, Windsor, Ontario","Vollmer Inc, Windsor, Ontario","Building 84 fire alarm system, Harrow, Ontario","Bâtiment 84 système d'alarme anti-incendie, Harrow, Ontario",342846,342846,342846
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","WSP Canada Inc, Montréal, Quebec","WSP Canada Inc, Montréal, Québec","Architectural and engineering services for supply and installation of a bioreactor, Sherbrooke, Quebec","Services d'architecture et d'ingénierie pour fourniture et installation d'un bioréacteur, Sherbrooke, Québec",344628,0,344628
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","1 x 1 Architecture, Winnipeg, Manitoba","1 x 1 Architecture, Winnipeg, Manitoba","Architectural and engineering services for microbiology laboratory, Lacombe, Alberta","Services d'architecture et d'ingénierie pour le laboratoire de microbiologie, Lacombe, Alberta",274985,6655,274985
2021/2022,02,"Agriculture and Agri-Food","Agriculture et Agroalimentaire",001,"Department of Agriculture and Agri-Food","Ministère de l'Agriculture et de l'Agroalimentaire","3075487 Manitoba Ltd, Winnipeg, Manitoba","3075487 Manitoba Ltd, Winnipeg, Manitoba","Building 72 chilled water system replacement, Morden, Manitoba","Bâtiment 72 mise à jour du système de la chaudière et du refroidissement d'eau, Morden, Manitoba",1078000,108053,108053
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Black and McDonald Ltd, Ottawa, Ontario","Black and McDonald Ltd, Ottawa, Ontario","Update of mechanical-electrical systems, Embassy of Canada, Rabat, Morocco","Mise à jour des systèmes mécaniques-électriques, Ambassade du Canada, Rabat, Maroc",1508441,2572,1508441
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Brookfield Global Integrated Solutions CA, Markham, Ontario","Brookfield Global Integrated Solutions CA, Markham, Ontario","Installation of an uninterruptible power supply system and fit-up at the Place du Centre building, Gatineau, Quebec","Instalation d'un système d'alimentation sans interruption et autres travaux d'aménagement de l'immeuble place du centre, Gatineau, Québec",4105455,1805889,2361671
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Brookfield Global Integrated Solutions CA, Markham, Ontario","Brookfield Global Integrated Solutions CA, Markham, Ontario","Lester B. Pearson Rehabilitation Building A, Ottawa, Ontario","Rénovation du Bâtiment A Lester B. Pearson, Ottawa, Ontario",18313180,5035711,17332386
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Construction Outfitters International, Boerne, Texas","Construction Outfitters International, Boerne, Texas","Design-build and fit-up of chancery, Damascus, Syria","Conception construction et aménagement de la chancellerie, Damas, Syrie",6349317,0,3261795
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Contracts under $250,000 and cost plus contracts under $25,000 (65 contractors)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (65 entrepreneurs)",Total,Total,0,5383744,0
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","DilawriI Property Holdings Ltd, Ottawa, Ontario","DilawriI Property Holdings Ltd, Ottawa, Ontario","Moving the Distribution Centre form Lester B Pearson building to 2421 Lancaster, Ottawa, Ontario","Déménagement du centre de distribution du Bâtiment Lester B vers le 2421 Lancaster, Ottawa, Ontario",718631,383752,590709
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Epik Taahhut Sanayi IC VE Disticaret AS, Ankara, Turkey","Epik Taahhut Sanayi IC VE Disticaret AS, Ankara, Turquie","Building upgrades High Commission of Canada, Dhaka, Bangladesh","Modernisation des bâtiments Haut-commissariat du Canada, Dhaka, Bangladesh",2512795,327027,694137
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Foreign & CommonWealth Office, Buckinghamshire, United Kingdom","Foreign & CommonWealth Office, Buckinghamshire, Royaume-Uni","Security upgrade, New Delhi, India","Amélioration de la sécurité, New Delhi, Inde",671957,129780,601708
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Green World Unity Construction, Kabul, Afghanistan","Green World Unity Construction, Kaboul, Afghanistan","Upgrade to staff quarters and dining hall, Kabul, Afghanistan","Amélioration de logements du personnel et salle à manger, Kaboul, Afghanistan",6264098,0,3506973
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kancelaria Notarialna Karolina Wolf, Warsaw, Poland","Kancelaria Notarialna Karolina Wolf, Varsovie, Pologne","Purchase of staff quarters, Warsaw, Poland","Achat de logements du personnel, Varsovie, Pologne",1335400,0,344
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kancelaria Notarialna Karolina Wolf, Warsaw, Poland","Kancelaria Notarialna Karolina Wolf, Varsovie, Pologne","Real property acquisition, Warsaw, Poland","Achat biens immobiliers, Varsovie, Pologne",825064,719765,719765
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kenbeck Investments Limited, Nairobi, Kenya","Kenbeck Investments Limited, Nairobi, Kenya","Acquisition staff quarters compound, Nairobi, Kenya","Achat de logements du personnel, Nairobi, Kenya",7154127,7154127,7154127
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kida Design Inc, Ontario, Canada","Kida Design Inc, Ontario, Canada","Construction of Recreation Comp Site C, Islamabad, Pakistan","Construction du site de loisirs C, Islamabad, Pakistan",325000,2896,2896
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Kingdom of the Netherlands, Ministry of Foreign Affairs, The Hague, Netherlands","Royaume des Pays-Bas, ministère des Affaires étrangères, La Haye, Pays-Bas","Construction Chancery annexe, Juba, South Sudan","Construction annexe de la chancellerie, Djouba, Soudan du Sud",6114196,6114196,6114196
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Lester Aldridge, London, United Kingdom","Lester Aldridge, Londres, Royaume-Uni","Acquisition of staff quarters land, London, United Kingdom","Achat du terrain pour logements du personnel, Londres, Royaume-Uni",3172962,2797650,2797650
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","M&J Group Construction and Roofing, Bedford, United Kingdom","M&J Group Construction and Roofing, Bedford, Royaume-Uni","Chancery roof waterproofing replacement, Bucharest, Romania","Remplacement de l'étanchéité du toit de la chancellerie, Bucarest, Roumanie",604321,10431,10431
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Nash Properties S de RL de CV, Mexico, Mexico","Nash Properties S de RL de CV, Mexico, Mexique","Acquisition staff quarters, Mexico, Mexico","Acquisition de logements du personnel, Mexico, Mexique",2780000,2780000,2780000
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, Islamabad, Pakistan","Amélioration de la sécurité, Islamabad, Pakistan",687615,0,179585
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, Kabul, Afghanistan","Amélioration de la sécurité, Kaboul, Afghanistan",2359816,0,2193535
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, Khartoum, Sudan","Amélioration de la sécurité, Khartoum, Soudan",539502,0,495055
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","PMB Electrical, Kars, Ontario","PMB Electrical, Kars, Ontario","Security upgrade, New York, New York","Amélioration de la sécurité, New York, New York",1565154,0,844063
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Saelzer GmbH, Hamburg, Germany","Saelzer GmbH, Hambourg, Allemagne","Chancery window upgrade, Islamabad, Pakistan","Amélioration des fenêtres de la chancellerie, Islamabad, Pakistan",1833402,0,1385793
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Samra Enterprises, Islamabad, Pakistan","Samra Enterprises, Islamabad, Pakistan","Chancery perimeter security upgrade, Islamabad, Pakistan","Amélioration de la sécurité périmétrique de la chancellerie, Islamabad, Pakistan",6643258,441413,4059216
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","SCP Ndiaye Diagne Diallo, Dakar, Senegal","SCP Ndiaye Diagne Diallo, Dakar, Sénégal","Land Acquisition, Dakar, Senegal","Achat de terrains, Dakar, Sénégal",12500000,12500000,12500000
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Terlin Construction, Ottawa, Ontario","Terlin Construction, Ottawa, Ontario","Chancery modernization-expansion-fit-up-landscaping and swing space, Ouagadougou, Burkina Faso","Expansion modernisation de la chancellerie aménagement du terrain et de l'espace de travail temporaire, Ouagadougou, Burkina Faso",2861588,18740,2860328
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","Tokyo Renewal Co Ltd, Tokyo, Japan","Tokyo Renewal Co Ltd, Tokyo, Japon","Staff Quarters repairs, Tokyo, Japan","Réparation des logements du personnel, Tokyo, Japon",314206,314206,314206
2021/2022,09,"Global Affairs","Affaires mondiales",005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement","T3P construction Inc, Longueuil, Quebec","T3P construction Inc, Longueuil, Québec","Development of a demonstration window on the 4th floor, Montréal, Quebec","Aménagement d'une vitrine de démonstration au 4e étage, Montréal, Québec",433290,0,426341
2021/2022,07,Finance,Finances,006,"Department of Finance","Ministère des Finances","Contracts under $250,000 and cost plus contracts under $25,000 (1 contractor)","Contrats inférieurs à 250 000 $ et contrats à prix coûtant majoré inférieurs à 25 000 $ (1 entrepreneur)",Total,Total,48808,48808,48808
2021/2022,06,"Environment and Climate Change","Environnement et Changement climatique",007,"Department of the Environment","Ministère de l'Environnement","Alan G.D. Irvine Barrister & Soliciter, Fredericton, New Brunswick","Alan G.D. Irvine avocat et notaire, Fredericton, Nouveau-Brunswick","Land Acquisition, Portobello, New Brunswick","Acquisition de terre, Portobello, Nouveau-Brunswick",351831,351831,351831
2021/2022,06,"Environment and Climate Change","Environnement et Changement climatique",007,"Department of the Environment","Ministère de l'Environnement","Carleton University, Ottawa, Ontario","Carleton University, Ottawa, Ontario","Repayment of capital lease obligation on leased research building, Ottawa, Ontario","Remboursement de l'obligation liée au contrat de location-acquisition d'un immeuble de recherche, Ottawa, Ontario",32500000,935862,12656372
